;q	：“
(艹大丷日小,WhXiVyOt,,CJK-B)	𦼔
(⺿木,WhXyAj,,CJK-B)	𦼕
(艹冖禾禾,WhErZpZp,,CJK-B)	𦼖
(艹尸氺牛,WhMzHgLz,xī,CJK-B)	𦼗
(艹尸匕工丷,WhMzHsVy,,CJK-B)	𦼘
(⺿女日疋,WhSmJeKf,,CJK-B)	𦼙
(艹木木木,WhAjAjAj,,CJK-B)	𦼚
(艹走人彡,WhQoSiBl,,CJK-B)	𦼛
(艹走⺈小,WhQoRlOt,,CJK-B)	𦼜
(艹忄巛丿龱,WhNgJvLw,,CJK-B)	𦼝
(艹人禾田,WhSiZpSl,,CJK-B)	𦼞
(艹糹儿,WhHtPdAh,,CJK-B)	𦼟
(艹門一廾,WhAcFhWh,,CJK-B)	𦼠
(⺿幺巾夂巾,WhBlUwUw,cǐ,CJK-B)	𦼡
(⺿山示斤,WhDsDdOz,shé,CJK-B)	𦼢
(艹⺊冂心丿大,WhDhZvXi,,CJK-B)	𦼣
(艹鼠,WhQk,,CJK-B)	𦼤
(艹氵耂日,WhHgRiJe,,CJK-B)	𦼥
(⺿戊𠃌皿,WhUcPvBk,,CJK-B)	𦼦
(⺿阝辛乂,WhTjJtOs,sà,CJK-B)	𦼧
(艹丨日貝,WhKsJeIc,,CJK-B)	𦼨
(⺿丿大非一,WhCkXiFh,,CJK-B)	𦼩
(⺿木予丿木,WhAjMaAj,mào,CJK-B)	𦼪
(⺿虍豕,WhQbKt,qú,CJK-B)	𦼫
(艹氵且皿,WhHgRhBk,,CJK-B)	𦼬
(⺿木甫寸,WhAjGnLw,bó,CJK-B)	𦼭
(⺿十日十人干,WhGlJeLr,gǎn_gàn,CJK-B)	𦼮
(⺿丷豕辶,WhVyKtLt,,CJK-B)	𦼯
(⺿木日勹亾,WhAjJeXc,qiè_hé,CJK-B)	𦼰
(⺿隹,WhVhZv,juàn,CJK-B)	𦼱
(⺿田,WhXySl,dāng,CJK-B)	𦼲
(⺿⺼日一勹,WhMdJeBl,cháng,CJK-B)	𦼳
(⺿木日一勹,WhAjJeBl,yáng,CJK-B)	𦼴
(⺿日勹亾毛,WhJeSnOu,hé,CJK-B)	𦼵
(⺿月廿㇗木,WhMdXkAj,,CJK-B)	𦼶
(⺿車凵殳,WhJlZvQi,jī,CJK-B)	𦼷
(⺿扌高,WhPcWn,,CJK-B)	𦼸
(⺿亠囗口禾,WhUeUdZp,bǐng,CJK-B)	𦼹
(⺿十戈口王,WhGlIeGi,,CJK-B)	𦼺
(⺿氵山一几攵,WhHgDsRy,méi,CJK-B)	𦼻
(⺿魚又,WhXlWi,,CJK-B)	𦼼
(⺿韋支,WhIwBh,,CJK-B)	𦼽
(⺿扌卯田,WhPcFmSl,,CJK-B)	𦼾
(⺿一頁,WhFhIaWv,dūn,CJK-B)	𦼿
(⺿𠂉十頁,WhLdGlWv,ǎo,CJK-B)	𦽀
(⺿糹一巛工,WhHtFhNv,jīng,CJK-B)	𦽁
(⺿禾土八土,WhZpBmBm,lù,CJK-B)	𦽂
(⺿片户𠕁,WhNbFkJz,miàn,CJK-B)	𦽃
(⺿尸龷八殳,WhMzXkQi,diàn,CJK-B)	𦽄
(⺿門可,WhAcZj,hè,CJK-B)	𦽅
(⺿阝辛子,WhTjJtYd,,CJK-B)	𦽆
(⺿月聿廴,WhMdUaVv,jiān,CJK-B)	𦽇
(⺿丷酉犬,WhVyTiLe,,CJK-B)	𦽈
(⺿目火火,WhGyYvYv,,CJK-B)	𦽉
(⺿口𠕁𠃌一口,WhIqJzIq,huá,CJK-B)	𦽊
(⺿金句,WhTkTq,gōu,CJK-B)	𦽋
(⺿片一口田,WhNbFhSl,,CJK-B)	𦽌
(艹目,WhGyNbNb,,CJK-B)	𦽍
(⺿礻彑氺,WhDdSiHg,lù,CJK-B)	𦽎
(⺿鳥几,WhTlPs,fú,CJK-B)	𦽏
(⺿臼土殳,WhWiBmQi,huǐ,CJK-B)	𦽐
(⺿禾子,WhZpWnYd,,CJK-B)	𦽑
(⺿貝戈𠂇,WhIcIeGl,zéi,CJK-B)	𦽒
(⺿火火冖⺄十,WhYvYvGl,,CJK-B)	𦽓
(⺿木木示,WhAjAjDd,jìn,CJK-B)	𦽔
(⺿犭臣犬,WhLeDzLe,sī,CJK-B)	𦽕
(⺿目囗禾,WhGyUdZp,qūn,CJK-B)	𦽖
(⺿㡀攵,WhKtRy,,CJK-B)	𦽗
(⺿氵氏一皿,WhHgQuBk,,CJK-B)	𦽘
(⺿弓弓辶,WhOdOdLt,,CJK-B)	𦽙
(⺿阝立女女,WhTjYqSm,,CJK-B)	𦽚
(⺿宀衤殳,WhErOrQi,,CJK-B)	𦽛
(⺿宀刀臼,WhErVyWi,dàn,CJK-B)	𦽜
(⺿亻田糸,WhKjSlHt,,CJK-B)	𦽝
(⺿韋二儿,WhIwRlAh,wàn,CJK-B)	𦽞
(⺿戶𠕁辶,WhFkJzLt,biǎn,CJK-B)	𦽟
(⺿屮凵方攵,WhIaZvRy,,CJK-B)	𦽠
(⺿老,WhWnRi,,CJK-B)	𦽡
(⺿十冖日疋,WhGlErKf,,CJK-B)	𦽢
(艸木示欠,WhAjDdFy,,CJK-B)	𦽣
(艹言⺁,WhMeOyOr,jiá,CJK-B)	𦽤
(⺿扌㇏禾,WhPcZhZp,,CJK-B)	𦽥
(⺿日罒方,WhJeYtMx,,CJK-B)	𦽦
(⺿禾禾乃,WhZpZpVi,,CJK-B)	𦽧
(⺿車六乂,WhJlCaOs,,CJK-B)	𦽨
(⺿木予丿木,WhAjMaAj,,CJK-B)	𦽩
(⺿斤一口田,WhOzFhSl,,CJK-B)	𦽪
(艹戊一口心,WhUcFhNg,dǎn,CJK-B)	𦽫
(⺿癶㐄㐄,WhVyGjGj,jiū,CJK-B)	𦽬
(艹夕夕臼,WhXuXuWi,xián,CJK-B)	𦽭
(⺿舟殳女,WhLkQiSm,bó,CJK-B)	𦽮
(艹木了口又一,WhAjFuFh,,CJK-B)	𦽯
(艹予丿爫,WhMaCkUa,,CJK-B)	𦽰
(艸丿囗卩一艸,WhCkUdWh,,CJK-B)	𦽱
(艹一氺丶衣,WhFhHgOr,,CJK-B)	𦽲
(⺿田⽱心,WhSlFjNg,,CJK-B)	𦽳
(⺿立龶⺝,WhYqZhMd,,CJK-B)	𦽴
(⺿阝辛女,WhTjJtSm,,CJK-B)	𦽵
(⺿木耳阝,WhAjQgTj,,CJK-B)	𦽶
(⺿氵聿,WhHgUaWh,,CJK-B)	𦽷
(⺿二コ又,WhMzRlWh,,CJK-B)	𦽸
(⺿⺜目,WhJeGyWh,,CJK-B)	𦽹
(⺿吅二ㄅ攵,WhRuRlRy,,CJK-B)	𦽺
(⺿亻口木,WhKjIqWh,,CJK-B)	𦽻
(⺿氵覀木,WhHgQpAj,,CJK-B)	𦽼
(⺿米八刀大,WhMgVyXi,,CJK-B)	𦽽
(⺿氵卯田,WhHgFmSl,,CJK-B)	𦽾
(⺿覀貝,WhQpIc,,CJK-B)	𦽿
(⺿大丷二ㄅ勹巳,WhXiVyDu,,CJK-B)	𦾀
(⺿㇏白小,WhZhOeOt,,CJK-B)	𦾁
(⺿王人彡心,WhGiSiNg,,CJK-B)	𦾂
(⺿扌土厶皿,WhPcBmBk,,CJK-B)	𦾃
(⺿束宀女,WhUhErSm,,CJK-B)	𦾄
(⺿丰刀人氺,WhZhKgHg,,CJK-B)	𦾅
(⺿口吅云,WhIqRuPd,,CJK-B)	𦾆
(艹冂大女未,WhZvXiJx,,CJK-B)	𦾇
(⺿口吅木,WhIqRuAj,,CJK-B)	𦾈
(⺿冖鳥,WhErTl,,CJK-B)	𦾉
(⺿口吅方,WhIqRuMx,,CJK-B)	𦾊
(卝罒冖夕㐄,WhYtErGj,,CJK-B)	𦾋
(⺿虫夂丰,WhJwJtZh,,CJK-B)	𦾌
(⺿日小,WhVyJeOt,,CJK-B)	𦾍
(⺿禾禾女,WhZpZpSm,,CJK-B)	𦾎
(艹艹甲,WhPcWhSt,xiá,CJK-B)	𦾏
(⺿臣人皿,WhDzSiBk,,CJK-B)	𦾐
(艹覀示刂,WhQpDdKg,biāo,CJK-B)	𦾑
(⺿罒一丿扌,WhYtFhIe,,CJK-B)	𦾒
(艹亻人人人人二ㄅ,WhKjSiPv,,CJK-B)	𦾓
(⺿隹丨日,WhVhKsJe,,CJK-B)	𦾔
(艹月一口田,WhMdFhSl,pò,CJK-B)	𦾕
(艹宀又丷虫,WhErWiJw,,CJK-B)	𦾖
(艹大丷皿,WhSiXiBk,,CJK-B)	𦾗
(艹女宀火夕,WhSmErXu,sǎo,CJK-B)	𦾘
(艹扌十艹大十,WhPcGlGl,bèi,CJK-B)	𦾙
(艹虍口一大,WhQbIqXi,shà,CJK-B)	𦾚
(⺿日韋,WhJeIw,wěi,CJK-B)	𦾛
(艹豸艮,WhLzTp,,CJK-B)	𦾜
(艹人口山,WhSiFkDs,cāng,CJK-B)	𦾝
(艹氺皿,WhSiHgBk,lù,CJK-B)	𦾞
(⺿戈戈皿,WhIeIeBk,,CJK-B)	𦾟
(艹日十人示,WhJeGlDd,,CJK-B)	𦾠
(⺿女山一几攵,WhSmDsRy,,CJK-B)	𦾡
(艹木㇗,WhAjMzPv,,CJK-B)	𦾢
(艹扌冖隹,WhPcErVh,,CJK-B)	𦾣
(艹亼⺝刂心,WhTuMdNg,,CJK-B)	𦾤
(艹日冖車,WhJeErJl,,CJK-B)	𦾥
(艹丿㠯一巾女,WhCkUsSm,,CJK-B)	𦾦
(⺿日耂日,WhJeRiJe,,CJK-B)	𦾧
(艹阝辛女,WhTjJtSm,,CJK-B)	𦾨
(艹阝爫臼,WhTjToWi,dàn,CJK-B)	𦾩
(艹白止巳八夂,WhDyLdJt,,CJK-B)	𦾪
(艹{彀字框无一}禾,WhVsZp,gǔ,CJK-B)	𦾫
(⺿扌羽白,WhPcEhDy,zā,CJK-B)	𦾬
(⺿片冖方,WhNbYqMx,bǎng,CJK-B)	𦾭
(⺿十日十人木,WhGlJeAj,gàn_gǎn,CJK-B)	𦾮
(⺿糹彑氺,WhHtSiHg,,CJK-B)	𦾯
(⺿广囗口示,WhGpUdDd,,CJK-B)	𦾰
(⺿扌巛田木,WhPcJvAj,chāo,CJK-B)	𦾱
(⺿丷田龷八,WhVySlVy,jì,CJK-B)	𦾲
(⺿而大瓦,WhUaXiFn,liē,CJK-B)	𦾳
(⺿𠂉母丿糸,WhLdQtHt,,CJK-B)	𦾴
(⺿火火冖木,WhYvYvAj,qióng,CJK-B)	𦾵
(⺿氵車斤,WhHgJlOz,jiàn,CJK-B)	𦾶
(⺿氵羽人彡,WhHgEhBl,lù,CJK-B)	𦾷
(⺿立山而,WhYqDsUa,duān,CJK-B)	𦾸
(⺿酉厶儿夂,WhTiNdJt,suān,CJK-B)	𦾹
(⺿金儿冫,WhTkAhLv,yáo,CJK-B)	𦾺
(⺿爫工心,WhToNvNg,yǐn,CJK-B)	𦾻
(⺿井王冂辶,WhBzGiLt,,CJK-B)	𦾼
(⺿罒辶,WhYtHgLt,tà,CJK-B)	𦾽
(⺿缶辶,WhMdUsLt,yáo,CJK-B)	𦾾
(⺿米龶⺝,WhMgZhMd,jīng,CJK-B)	𦾿
(⺿禾耂日,WhZpRiJe,chú,CJK-B)	𦿀
(⺿禾一口田,WhZpFhSl,fú,CJK-B)	𦿁
(⺿弋鳥,WhNdTl,yuán,CJK-B)	𦿂
(⺿镸⺌⺼,WhSiOtMd,shǎo,CJK-B)	𦿃
(⺿日丨日一勹,WhJeKsBl,,CJK-B)	𦿄
(⺿冫馬几,WhLvGbPs,bìng,CJK-B)	𦿅
(⺿石日一勹,WhQqJeBl,dàng,CJK-B)	𦿆
(艹魚阝,WhXlTj,shì,CJK-B)	𦿇
(⺿龠,WhSy,,CJK-B)	𦿈
(⺿日一,WhJeFhOz,,CJK-B)	𦿉
(⺿虍巛田,WhQbJvSl,lú,CJK-B)	𦿊
(⺿土厶日勹亾,WhBmNdXc,qiè,CJK-B)	𦿋
(⺿日幺幺灬,WhJeBlYv,luó,CJK-B)	𦿌
(⺿亻业⺶㇏,WhKjOqOe,pò,CJK-B)	𦿍
(⺿屮凵示攴,WhIaZvRy,,CJK-B)	𦿎
(⺿卝罒冖夕,WhWhYtXu,méng_mèng,CJK-B)	𦿏
(⺿小隹戈,WhOtVhIe,jié,CJK-B)	𦿐
(艸日日艸,WhJeJeWh,,CJK-B)	𦿑
(⺿木㇏禾,WhAjZhZp,,CJK-B)	𦿒
(⺿車口殳,WhJlIqQi,jī,CJK-B)	𦿓
(⺿㡀攵廾,WhKtRyWh,,CJK-B)	𦿔
(⺿扌隹木,WhPcVhAj,,CJK-B)	𦿕
(⺿土,WhBmCu,lù,CJK-B)	𦿖
(⺿高毛,WhWnOu,,CJK-B)	𦿗
(艹人人且皿,WhSiSiBk,,CJK-B)	𦿘
(⺿⺈冂八匕人,WhRlZvSi,,CJK-B)	𦿙
(艹罒辶,WhYtHgLt,,CJK-B)	𦿚
(艹罒冖亻白,WhYtErDy,,CJK-B)	𦿛
(艹宀貝,WhErMzIc,,CJK-B)	𦿜
(艹㡀攵巾,WhKtRyUw,,CJK-B)	𦿝
(⺿氵丿心,WhHgCkNg,,CJK-B)	𦿞
(⺿糹大可,WhHtXiZj,,CJK-B)	𦿟
(⺿冖隹,WhErVhWh,,CJK-B)	𦿠
(⺿日癶一大,WhJeVyXi,,CJK-B)	𦿡
(⺿冖一豕,WhErFhWh,,CJK-B)	𦿢
(⺿高,WhWnWh,,CJK-B)	𦿣
(⺿亠幺田,WhUeBlWh,,CJK-B)	𦿤
(⺿⺊龱㇗,WhDhLwWh,,CJK-B)	𦿥
(⺿冂人火火刂,WhZvSiKg,,CJK-B)	𦿦
(⺿止戊示,WhLdUcDd,,CJK-B)	𦿧
(艹禾巛一田,WhZpJvSl,,CJK-B)	𦿨
(⺿一曲日廾,WhFhRwWh,,CJK-B)	𦿩
(⺿夂丰辶廾,WhJtZhWh,,CJK-B)	𦿪
(艹言大日,WhMeXiJe,,CJK-B)	𦿫
(⺿广鳥,WhGpTl,,CJK-B)	𦿬
(⺿氵廿巾入入,WhHgXkXj,,CJK-B)	𦿭
(⺿丷豕生,WhVyKtDh,,CJK-B)	𦿮
(⺿皿勹乂,WhHgBkOs,,CJK-B)	𦿯
(⺿王馬,WhGiGb,,CJK-B)	𦿰
(⺿戊非一,WhUcDmFh,,CJK-B)	𦿱
(⺿大鳥,WhXiTl,,CJK-B)	𦿲
(⺿土八土丸土,WhBmVyBm,,CJK-B)	𦿳
(⺿冂大丷日小,WhZvXiOt,,CJK-B)	𦿴
(⺿白匕文,WhDyNbWm,,CJK-B)	𦿵
(艹弓䒑⺝刂刀,WhOdVyKg,,CJK-B)	𦿶
(艹犭亀,WhLeSi,,CJK-B)	𦿷
(艹丿止廴虫,WhCkLdJw,,CJK-B)	𦿸
(⺿日大口水,WhJeXiHg,,CJK-B)	𦿹
(⺿禾米,WhZpKgMg,,CJK-B)	𦿺
(⺿金人王,WhTkSiGi,,CJK-B)	𦿻
(⺿勹止止止,WhSnLdLd,,CJK-B)	𦿼
(⺿禾頁,WhZpWv,,CJK-B)	𦿽
(⺿禾刂人氺,WhZpKgHg,,CJK-B)	𦿾
(⺿糹禾女,WhHtZpSm,,CJK-B)	𦿿
(⺿犭言犬,WhLeMeLe,,CJK-B)	𧀀
(⺿禾冎口,WhZpFvIq,,CJK-B)	𧀁
(⺿爫示示,WhToDdDd,,CJK-B)	𧀂
(艹未丷未丷,WhJxVyVy,,CJK-B)	𧀃
(⺿田日一勹,WhSlJeBl,chàng,CJK-B)	𧀄
(⺿罒戈禾,WhYtIeZp,miè_mò,CJK-B)	𧀅
(卝罒冖豆,WhYtErEi,méng,CJK-B)	𧀆
(⺿囗糹田,WhUdHtSl,jiǎn,CJK-B)	𧀇
(艹㐅凵㐅凵日,WhOsZvJe,,CJK-B)	𧀈
(艹氵厶厶厶人小,WhHgNdOt,,CJK-B)	𧀉
(艹糹爫木,WhHtToAj,cǎi,CJK-B)	𧀊
(艹麻丿厶,WhOnCkNd,,CJK-B)	𧀋
(艹氵束欠,WhHgUhFy,sù,CJK-B)	𧀌
(艹王凵,WhGiZv,,CJK-B)	𧀍
(⺿高⺝,WhWnMd,,CJK-B)	𧀎
(艹金儿,WhTkPdAh,,CJK-B)	𧀏
(艹王鬼,WhGiBy,,CJK-B)	𧀐
(艹禾千里,WhZpHcDn,,CJK-B)	𧀑
(艹女束攵,WhSmUhRy,,CJK-B)	𧀒
(艹尸口丨女,WhMzSfSm,,CJK-B)	𧀓
(⺿豸龙,WhLzJhBl,hè,CJK-B)	𧀔
(⺿阝辛辶,WhTjJtLt,sà,CJK-B)	𧀕
(⺿禾日疋,WhZpJeKf,,CJK-B)	𧀖
(艹耒巛田,WhFuJvSl,zī,CJK-B)	𧀗
(⺿忄龶貝,WhNgZhIc,kēng,CJK-B)	𧀘
(⺿耳火灬,WhQgYvYv,gěng,CJK-B)	𧀙
(⺿禾𠃌一口火,WhZpPvYv,sī,CJK-B)	𧀚
(⺿厶⺼匕灬,WhNdMdYv,,CJK-B)	𧀛
(艹火爫臼,WhYvToWi,,CJK-B)	𧀜
(⺿氵亻丨攵木,WhHgKjAj,,CJK-B)	𧀝
(艹田木一口,WhSlAjOs,,CJK-B)	𧀞
(艹厶口乃又皿,WhNdIqBk,,CJK-B)	𧀟
(⺿糹日疋,WhHtJeKf,tí,CJK-B)	𧀠
(⺿氵隹灬,WhHgVhYv,zhàn,CJK-B)	𧀡
(⺿⻊廿㇗木,WhUzXkAj,xiè,CJK-B)	𧀢
(⺿言隹,WhMeVh,shuí,CJK-B)	𧀣
(⺿齒,WhYb,chǐ,CJK-B)	𧀤
(⺿心夂,WhWvNgJt,yōu,CJK-B)	𧀥
(⺿魚日,WhXlJe,lǔ,CJK-B)	𧀦
(卝罒冖土儿夂,WhYtErJt,mèng,CJK-B)	𧀧
(⺿巛,WhJvQk,liè,CJK-B)	𧀨
(⺿貝日勹,WhIcJeBl,sì,CJK-B)	𧀩
(⺿氵大丷日小,WhHgXiOt,,CJK-B)	𧀪
(⺿歹𠂉日一勹,WhQmLdBl,,CJK-B)	𧀫
(⺿⺼木人氺,WhMdAjHg,xī,CJK-B)	𧀬
(⺿木乂乂木大,WhAjOsXi,fán,CJK-B)	𧀭
(⺿甫方攵,WhGnMxRy,fū,CJK-B)	𧀮
(⺿宀丿米田,WhErCkSl,shěn,CJK-B)	𧀯
(⺿⻊冖巾,WhUzYqUw,tí,CJK-B)	𧀰
(⺿冖巾心,WhDsErNg,chài,CJK-B)	𧀱
(⺿門八口儿,WhAcVyAh,yuè,CJK-B)	𧀲
(⺿镸,WhSiSiHg,,CJK-B)	𧀳
(⺿虍田⺼,WhQbSlMd,fū,CJK-B)	𧀴
(⺿車斤木,WhJlOzAj,jiàn_shǎn,CJK-B)	𧀵
(艹士冖田厶龰,WhMfErLd,dì,CJK-B)	𧀶
(⺿彡工口寸,WhBlSiLw,,CJK-B)	𧀷
(⺿亻业䒑未,WhKjOqJx,,CJK-B)	𧀸
(艹广廿灬辶,WhGpXkLt,zhè,CJK-B)	𧀹
(⺿士口頁,WhMfIqWv,xié,CJK-B)	𧀺
(⺿亻⺈厂八言,WhKjRlMe,dān,CJK-B)	𧀻
(⺿㠯辛,WhIaUsJt,,CJK-B)	𧀼
(而辶皿,UaLtBk,,CJK-B)	𧀽
(⺿丷𢎨,WhTfVyUv,,CJK-B)	𧀾
(⺿丷酉大阝,WhVyTiTj,zhí,CJK-B)	𧀿
(⺿十日十人禾,WhGlJeZp,,CJK-B)	𧁀
(⺿吅井一𧘇,WhRuBzOr,,CJK-B)	𧁁
(艹阝丷豕辶,WhTjVyLt,,CJK-B)	𧁂
(⺿禾亠幺田,WhZpUeSl,xù,CJK-B)	𧁃
(⺿氵止舟刂,WhHgLdKg,,CJK-B)	𧁄
(⺿乃一止金,WhViFhTk,,CJK-B)	𧁅
(⺿山水金,WhDsHgTk,,CJK-B)	𧁆
(屮屮艸一丩屮又,IaIaWhWi,,CJK-B)	𧁇
(⺿土八土丸木,WhBmVyAj,niè,CJK-B)	𧁈
(⺿甫方巴,WhGnMxEw,fàn,CJK-B)	𧁉
(⺿目艮心,WhGyTpNg,méng,CJK-B)	𧁊
(⺿𠂉母攵心,WhLdQtNg,mǐn,CJK-B)	𧁋
(卝罒冖亻一囗人,WhYtErSi,,CJK-B)	𧁌
(⺿車耳又,WhJlQgWi,,CJK-B)	𧁍
(艹日冖一止攵,WhJeErRy,,CJK-B)	𧁎
(⺿十冖田厶龰,WhGlErLd,,CJK-B)	𧁏
(艹宀毌貝,WhErSfIc,,CJK-B)	𧁐
(⺿氵厶厶厶人⺗,WhHgNdNg,,CJK-B)	𧁑
(⺿木⺷丶水,WhAjIdHg,,CJK-B)	𧁒
(⺿亻曲辰,WhKjRwQn,,CJK-B)	𧁓
(⺿氵甫皿,WhHgGnBk,,CJK-B)	𧁔
(⺿氵丿丿干,WhHgCkWh,,CJK-B)	𧁕
(⺿䒑幺幺田,WhVyBlSl,,CJK-B)	𧁖
(⺿丿心,WhCkLwWh,,CJK-B)	𧁗
(⺿女工口寸,WhSmSiLw,,CJK-B)	𧁘
(⺿⺷,WhIdOz,,CJK-B)	𧁙
(⺿心心心土,WhNgNgBm,,CJK-B)	𧁚
(⺿氵了口又一灬,WhHgFuYv,,CJK-B)	𧁛
(⺿丰丰心,WhZhZhNg,,CJK-B)	𧁜
(艹一非囗口,WhFhDmIq,,CJK-B)	𧁝
(⺿示示示,WhDdDdDd,,CJK-B)	𧁞
(⺿革宀女,WhGoErSm,,CJK-B)	𧁟
(艹阝⺈日大亍,WhTjRlJb,,CJK-B)	𧁠
(龷㡀甫,XkKtGn,,CJK-B)	𧁡
(⺿日鳥,WhJeTl,,CJK-B)	𧁢
(卝罒冖田木,WhYtErAj,,CJK-B)	𧁣
(⺿口八口八口八,WhIqVyVy,,CJK-B)	𧁤
(⺿巾糹糹,WhUwHtHt,,CJK-B)	𧁥
(卝罒馬,WhYtGb,,CJK-B)	𧁦
(卝巾虫糸,WhUwJwHt,,CJK-B)	𧁧
(⺿禾⺈田大,WhZpRlXi,,CJK-B)	𧁨
(⺿𠂉小鬼,WhLdOtBy,,CJK-B)	𧁩
(⺿隹見,WhVhSc,,CJK-B)	𧁪
(⺿亻口吅木,WhKjIqAj,,CJK-B)	𧁫
(⺿行千里,WhFjHcDn,,CJK-B)	𧁬
(⺿糹口耳,WhHtIqQg,,CJK-B)	𧁭
(⺿行韋,WhFjIw,,CJK-B)	𧁮
(⺿糹風,WhHtUy,,CJK-B)	𧁯
(⺿⺈冂八目攴,WhRlZvRy,,CJK-B)	𧁰
(艹冂古攵,WhYqZvRy,,CJK-B)	𧁱
(艹廿口龶斤,WhXkIqOz,,CJK-B)	𧁲
(艹甫月巴,WhGnMdEw,,CJK-B)	𧁳
(艹僉刂,WhOrKg,,CJK-B)	𧁴
(艹扌𠂉卌一灬,WhPcLdYv,,CJK-B)	𧁵
(艹厂里八土,WhOyDnBm,,CJK-B)	𧁶
(艹古广車,WhQmGpJl,,CJK-B)	𧁷
(艹彑冖田木,WhSiErAj,,CJK-B)	𧁸
(广車艹古,GpJlWhQm,,CJK-B)	𧁹
(艹糸戊一口,WhHtUcIq,,CJK-B)	𧁺
(⺿止冖巾,WhLdSiWh,,CJK-B)	𧁻
(⺿阝𠂇工⺼辶,WhTjGlLt,,CJK-B)	𧁼
(⺿米夕㐄辶,WhMgXuLt,,CJK-B)	𧁽
(⺿口丨女瓜,WhSfIqQj,lóu,CJK-B)	𧁾
(⺿犭罒勹虫,WhLeYtJw,dú_shǔ,CJK-B)	𧁿
(⺿豸頁,WhLzWv,,CJK-B)	𧂀
(⺿吅田十戈,WhRuSlIe,zhàn,CJK-B)	𧂁
(⺿金戈戈,WhTkIeIe,jiàn,CJK-B)	𧂂
(⺿亼乛口頁,WhTuPvWv,hàn,CJK-B)	𧂃
(⺿門⺈臼,WhAcRlWi,dàn,CJK-B)	𧂄
(⺿禾厶厶厶人彡,WhZpNdBl,sēn,CJK-B)	𧂅
(⺿僉刀丶,WhOrKgOe,jiàn,CJK-B)	𧂆
(艹乂乂彐工口寸,WhOsOsLw,tán_xún,CJK-B)	𧂇
(⺿扌口吅木,WhPcIqAj,jiǎo,CJK-B)	𧂈
(⺿白丿米田,WhDyCkSl,pó,CJK-B)	𧂉
(⺿歺又非一,WhQmWiFh,,CJK-B)	𧂊
(⺿冫馬心,WhLvGbNg,píng,CJK-B)	𧂋
(⺿匚火火夕㐄,WhEhYvGj,,CJK-B)	𧂌
(⺿巳巳龷八辶,WhDuDuLt,zhuàn_sūn,CJK-B)	𧂍
(艹高歹匕,WhWnQmHs,,CJK-B)	𧂎
(⺿大丷日小辶,WhXiVyLt,liáo,CJK-B)	𧂏
(⺿禾龶貝,WhZpZhIc,zì,CJK-B)	𧂐
(⺿一ㄅ灬廾,WhCuFhWh,,CJK-B)	𧂑
(⺿火隹灬,WhYvVhYv,zhuó,CJK-B)	𧂒
(日彡彡巾艹弋,JeBlBlNd,,CJK-B)	𧂓
(⺿{彀字框无一}一糸,WhVsFhHt,hù,CJK-B)	𧂔
(艹高老,WhWnRi,,CJK-B)	𧂕
(⺿王王金,WhGiGiTk,,CJK-B)	𧂖
(⺿乂乂工口寸,WhOsOsLw,,CJK-B)	𧂗
(⺿吅己工乂乂,WhRuJcOs,,CJK-B)	𧂘
(⺿氵臼勹灬,WhHgWiYv,xì,CJK-B)	𧂙
(爫臼皿,ToWiBk,,CJK-B)	𧂚
(⺿卝罒冖瓦,WhWhYtFn,méng,CJK-B)	𧂛
(⺿穴口丨女,WhZiSfSm,jù,CJK-B)	𧂜
(卝罒冖目戈,WhYtErIe,miè,CJK-B)	𧂝
(⺿土火火,WhBmIdYv,xián,CJK-B)	𧂞
(⺿人貝,WhWiSiIc,,CJK-B)	𧂟
(艹虫貝辶,WhJwIcLt,kuì,CJK-B)	𧂠
(艹門月心,WhAcMdNg,méng,CJK-B)	𧂡
(⺿臣皿,WhDzZiBk,jiān,CJK-B)	𧂢
(⺿{彀字框无一}一禾,WhVsFhZp,,CJK-B)	𧂣
(⺿隹耂日,WhVhRiJe,,CJK-B)	𧂤
(艸白巾白巾,WhDyUwUw,,CJK-B)	𧂥
(艹木而而,WhAjUaUa,nóu,CJK-B)	𧂦
(⺿氵日罒方,WhHgJeMx,,CJK-B)	𧂧
(艹冖巾足,WhYqErUz,dì,CJK-B)	𧂨
(⺿糹又丶丶虫,WhHtWiJw,sāo,CJK-B)	𧂩
(艹冫戊二貝,WhLvUcIc,,CJK-B)	𧂪
(艹魚勹巳,WhXlSnDu,,CJK-B)	𧂫
(艹耒口貝,WhFuIqIc,,CJK-B)	𧂬
(⺿耒辰寸,WhFuQnLw,,CJK-B)	𧂭
(⺿龶⺝爫,WhZhMdUa,,CJK-B)	𧂮
(⺿酉日皿,WhTiJeBk,,CJK-B)	𧂯
(⺿⺻灬貝,WhUaYvIc,,CJK-B)	𧂰
(⺿厂䒑欠,WhOyVyWh,,CJK-B)	𧂱
(⺿大勹米,WhXiIdMg,,CJK-B)	𧂲
(⺿吅田十,WhRuSlWh,,CJK-B)	𧂳
(⺿卝隹,WhWhVhWh,,CJK-B)	𧂴
(⺿丿米田,WhCkMgWh,,CJK-B)	𧂵
(⺿广亻鳥,WhGpKjTl,,CJK-B)	𧂶
(⺿麻示,WhOnDd,,CJK-B)	𧂷
(⺿辟土,WhRkBm,,CJK-B)	𧂸
(⺿阝僉,WhTjOr,,CJK-B)	𧂹
(⺿耳丿皿心,WhQgCkNg,,CJK-B)	𧂺
