゛,Lv	⺀
女车辶,SmYfLt	𮱇
女王心,SmGiNg	𮱈
女大丶心,SmXiOeNg	𮱉
女罒夕,SmYtXu	𮱊
女㐅𠂇⺝,SmOsGlMd	𮱋
火火女,YvYvSm	𮱌
女卩,SmTpWj	𮱍
女厂日子,SmOyJeYd	𮱎
女⺈彐心,SmRlSiNg	𮱏
女亠弓,SmUeYvOd	𮱐
丰⺈巴女,ZhRlEwSm	𮱑
女鸟衣,SmWlOr	𮱒
女亠㐅凵禸,SmUeOsFj	𮱓
女艹两,SmWhAm	𮱔
女艹冖王丶,SmWhErOe	𮱕
女木木夕,SmAjAjXu	𮱖
女日辰,SmJeQn	𮱗
女立里,SmYqDn	𮱘
女龶⺝⺈,SmZhMdUa	𮱙
女虍田皿,SmQbSlBk	𮱚
女⻗⻊各,SmTfUzQy	𮱛
禾子,ZpYd	𮱜
子自心,YdCjNg	𮱝
宀尢,ErGh	𮱞
宀文,ErWm	𮱟
宀隹冂八口,ErVhZvIq	𮱠
小子,OtYd	𮱡
小石,OtQq	𮱢
一儿虫貝,FhAhJwIc	𮱣
山人⺋,DsSiWj	𮱤
山刀二,DsKgRl	𮱥
山几又,DsPsWi	𮱦
山亻弋,DsKjNd	𮱧
山耳,DsQg	𮱨
山冖车,DsErYf	𮱩
山亻小,DsKjLnOt	𮱪
山,DsOzVy	𮱫
山犭犬,DsLeLe	𮱬
山山亽龴,DsDsTuNd	𮱭
山亼口卩,DsTuIqWj	𮱮
山丷田十,DsVySlGl	𮱯
山木木疋,DsAjAjKf	𮱰
山几一鳥,DsPsFhTl	𮱱
山亠{齊字腰}二,DsUeIuRl	𮱲
亻匕巾,KjHsUw	𮱳
弓勹厶,OdSnNd	𮱴
弓丿大,OdCkXiKg	𮱵
弓人王,OdSiGi	𮱶
弓宀女,OdErSm	𮱷
弓弓文,OdOdWm	𮱸
册彡,JzBl	𮱹
彳𠂉也,JbLdHe	𮱺
彳又土,JbWiBm	𮱻
彳几一巾,JbPsFhUw	𮱼
彳田心,JbSlNg	𮱽
彳王王亽ヿ,JbGiGiPv	𮱾
忄㇏,NgRlOe	𮱿
忄贝,NgDj	𮲀
忄见,NgUw	𮲁
忄几乂,NgPsOs	𮲂
忄小,NgNgOt	𮲃
云力心,PdAuNg	𮲄
忄⺊贝,NgDhDj	𮲅
甫心,GnNg	𮲆
忄囗王丶,NgUdGiOe	𮲇
忄丶阝,NgOeTpTj	𮲈
忄目,NgMzGy	𮲉
忄土口𧘇,NgBmIqOr	𮲊
忄隹乃,NgVhVi	𮲋
厂里戈,OyDnIe	𮲌
戈口大土,IeIqXiBm	𮲍
戊面,UcHf	𮲎
扌一廾,PcFhWh	𮲏
扌丸云,PcTkPd	𮲐
扌⺈黾,PcRlAy	𮲑
户口攵手,FkIqRyPc	𮲒
由攵,IsRy	𮲓
山己攵,DsJcRy	𮲔
亠田攵,UeSlRy	𮲕
罒文,YtWm	𮲖
日日文,JeJeWm	𮲗
方日斤,MxJeOz	𮲘
方金,MxTk	𮲙
日一,JeFhKg	𮲚
日丶乂,JeOeOs	𮲛
日戈,JeIe	𮲜
日丿大,JeCkXi	𮲝
日木一,JeAjFh	𮲞
日页,JeKw	𮲟
日宀一𬺰,JeErFhGl	𮲠
日龷八,JeXkVy	𮲡
日衣,JeOr	𮲢
日山文,JeDsWm	𮲣
日金,JeTk	𮲤
日丁,JeWnUe	𮲥
日臼丨又,JeWiKsWi	𮲦
日山夂丰,JeDsJtZh	𮲧
日宀,JeErOzVy	𮲨
日艹冖王丶,JeWhErOe	𮲩
月人干,MdSiLr	𮲪
月⺧儿,MdLzAh	𮲫
木大丶,AjXiOe	𮲬
木人人,AjSiSi	𮲭
木又又,AjWiWi	𮲮
木人,AjHsSi	𮲯
木匕十,AjHsHsGl	𮲰
乂乂乂朩,OsOsOsAj	𮲱
木广大,AjGpXi	𮲲
木止,AjLdLd	𮲳
木八刀支,AjVyKgBh	𮲴
木鱼,AjEi	𮲵
木贝一戈,AjDjFhIe	𮲶
木门耳,AjBoQg	𮲷
木⺶㇏,AjIdOeKg	𮲸
木罒羽,AjYtEh	𮲹
木士口页,AjMfIqKw	𮲺
木穴吕丨,AjZiNfKs	𮲻
木舟殳石,AjLkQiQq	𮲼
木艹口吅木,AjWhIqAj	𮲽
音十欠,ArGlFy	𮲾
一止一止一止,FhLdFhLd	𮲿
殳攵,QiRy	𮳀
毛人王,OuSiGi	𮳁
毛丿扌,OuCkPcIe	𮳂
氵丶乂,HgOeOs	𮳃
氵又又,HgWiWi	𮳄
氵一业,HgFhOq	𮳅
氵亻匕十,HgKjHsGl	𮳆
氵宀火,HgErYv	𮳇
氵阝小,HgTjLnOt	𮳈
氵木灬,HgAjYv	𮳉
氵忄厶口,HgNgNdIq	𮳊
氵尸虫,HgMzJw	𮳋
氵王可,HgGiZj	𮳌
氵门各,HgBoQy	𮳍
氵门米,HgBoMg	𮳎
氵宀⺧儿,HgErLzAh	𮳏
氵日辰,HgJeQn	𮳐
氵止匕白,HgLdHsDy	𮳑
氵⺧口攵,HgLzIqRy	𮳒
户口攵水,FkIqRyHg	𮳓
氵厂亻隹,HgOyKjVh	𮳔
土甫人氺,BmGnSiHg	𮳕
氵十冂犬,HgGlZvLe	𮳖
氵亼⺝刂,HgYfTuKg	𮳗
氵艹亼⺝刂,HgWhTuKg	𮳘
氵艹门隹,HgWhBoVh	𮳙
火一𬺰,YvFhGl	𮳚
火飞,YvIb	𮳛
火习,YvFz	𮳜
火一巾,YvFhUw	𮳝
火厂丁,YvOyUe	𮳞
火月,YvMd	𮳟
火几乂,YvPsOs	𮳠
火几又,YvPsWi	𮳡
火宀一,YvErFh	𮳢
火小,YvLnOt	𮳣
火句,YvTq	𮳤
火老,YvRi	𮳥
火囗口,YvUdIq	𮳦
火丿大,YvCkXiKg	𮳧
火艮,YvTp	𮳨
火龶夂,YvZhJt	𮳩
儿火,ZhAhYv	𮳪
火艹夫,YvWhSv	𮳫
火车辶,YvYfLt	𮳬
火龶贝,YvZhDj	𮳭
火木灬,YvAjYv	𮳮
口贝力灬,IqDjAuYv	𮳯
火艹干丷,YvWhLrVy	𮳰
火虫贝,YvJwDj	𮳱
火白水,YvDyHg	𮳲
火丷口心,YvVyIqNg	𮳳
火日亻匕十,YvJeKjGl	𮳴
火宀豕,YvErKt	𮳵
火艹冖王丶,YvWhErOe	𮳶
火⻗彐,YvTfSi	𮳷
火艹冖吕,YvWhErNf	𮳸
火艹亼⺝刂,YvWhTuKg	𮳹
牛马,LzXh	𮳺
牛厂力,LzOyAu	𮳻
牛尸古,LzMzQm	𮳼
犭⺁一口,LeOyFhIq	𮳽
犭户口,LeFkIq	𮳾
犬犬犬犬,LeLeLeLe	𮳿
王一儿,GiFhAh	𮴀
王小,GiOt	𮴁
王丶乂,GiOeOs	𮴂
王也,GiHe	𮴃
王口丨,GiIqKs	𮴄
王仑,GiHv	𮴅
王几乂,GiPsOs	𮴆
王几又,GiPsWi	𮴇
王尸丶,GiMzOe	𮴈
王口八,GiIqVy	𮴉
王夂卜,GiJtDh	𮴊
王亠巾,GiUeUw	𮴋
王丷三,GiVyQn	𮴌
王屮凵,GiIaZv	𮴍
王又土,GiWiBm	𮴎
王一业,GiFhOq	𮴏
王臣,GiDz	𮴐
王夫丷,GiSvVy	𮴑
王山己,GiDsJc	𮴒
王丿大,GiCkXiKg	𮴓
王亻匕十,GiKjHsGl	𮴔
王广大,GiGpXi	𮴕
王门口,GiBoIq	𮴖
王一儿,GiIeFhAh	𮴗
王大辶,GiXiLt	𮴘
王走,GiQo	𮴙
王〢又土,GiKgWiBm	𮴚
王亻可,GiKjZj	𮴛
王白七,GiDyLn	𮴜
王勹田,GiSnSl	𮴝
王尸毛,GiMzOu	𮴞
王山亽龴,GiDsTuNd	𮴟
王一,GiFhMdMd	𮴠
王王王,GiGiGi	𮴡
王日丿廾,GiJeCkWh	𮴢
王爫冖又,GiToErWi	𮴣
王乛水三,GiPvHgQn	𮴤
王山己几,GiDsJcPs	𮴥
王𠂉日夂,GiLdJeJt	𮴦
王食,GiOz	𮴧
王丷口心,GiVyIqNg	𮴨
王自心,GiCjNg	𮴩
王自犬,GiCjLe	𮴪
王八厶羽,GiVyNdEh	𮴫
王木木夕,GiAjAjXu	𮴬
王日辰,GiJeQn	𮴭
王尸示寸,GiMzDdLw	𮴮
王日豕,GiJeKt	𮴯
王宀心丿山,GiErNgDs	𮴰
王艹勹米,GiWhSnMg	𮴱
王月,GiMzVyMd	𮴲
王⻗木,GiTfAj	𮴳
王手,GiXyPc	𮴴
王弓口虫,GiOdIqJw	𮴵
王艹冖吕,GiWhErNf	𮴶
王糹隹,GiHtVh	𮴷
王艹示,GiWhVyDd	𮴸
王艹门束丷,GiWhBoVy	𮴹
王{赢框}女,GiOrSm	𮴺
瓜白,QjDy	𮴻
十冂瓦,GlZvIdFn	𮴼
田㇗,SlPv	𮴽
田未,SlJx	𮴾
田鸟,SlWl	𮴿
田亻匕十,SlKjHsGl	𮵀
田亻匕十,SlKjHsGl	𮵁
田犭王,SlLeGi	𮵂
田子攵,SlWnYdRy	𮵃
白亽ヿ,DyTuPv	𮵄
目丶乂,GyOeOs	𮵅
目韦,GyQh	𮵆
目木日,GyAjJe	𮵇
目冖八木,GyErVyAj	𮵈
石㇏,QqRlOe	𮵉
石韦,QqQh	𮵊
石丿廾,QqCkWh	𮵋
石子乚,QqYdPv	𮵌
石舌,QqVl	𮵍
石土土,QqBmBm	𮵎
石王冂,QqGiZv	𮵏
石儿冫,QqAhLvLv	𮵐
石亠㐅凵,QqUeOsZv	𮵑
羽石,EhQq	𮵒
石山石,QqDsQq	𮵓
石⺈冂大,QqRlZvXi	𮵔
石艹戊,QqWhUc	𮵕
石丿口⽱,QqCkIqFj	𮵖
石方𠂉也,QqMxLdHe	𮵗
礻亻二,DdKjRl	𮵘
礻仑,DdHv	𮵙
礻又土,DdWiBm	𮵚
礻贝刂,DdDjKg	𮵛
礻亻韦,DdKjQh	𮵜
礻艹田,DdWhSl	𮵝
礻宀至,DdErCy	𮵞
礻立木斤,DdYqAjOz	𮵟
禾韦,ZpQh	𮵠
禾夕口,ZpXuIq	𮵡
禾且厶,ZpRhNd	𮵢
䒑㇏禾,VyZhOeZp	𮵣
禾㇗,ZpMzVyPv	𮵤
立尤,YqGh	𮵥
立夂゛,YqJtLv	𮵦
立寸,YqZhLw	𮵧
立一弋止,YqFhNdLd	𮵨
立大乂乂乂乂,YqXiOsOs	𮵩
立羽白,YqEhDy	𮵪
⺮了,ZiFu	𮵫
⺮王,ZiGi	𮵬
⺮几乂,ZiPsOs	𮵭
⺮鸟,ZiWl	𮵮
⺮夕⺋,ZiXuWj	𮵯
⺮川,ZiJvJv	𮵰
⺮未丷,ZiJxVy	𮵱
⺮爫女,ZiToSm	𮵲
⺮冖王丶,ZiErGiOe	𮵳
⺮木支,ZiAjBh	𮵴
⺮大田,ZiXiSl	𮵵
⺮宀王丶,ZiErGiOe	𮵶
⺮氵聿,ZiHgUa	𮵷
⺮日日日,ZiJeJeJe	𮵸
⺮禾女鬼,ZiZpSmBy	𮵹
户攵米,FkRyMg	𮵺
米䒑业,MgVyOq	𮵻
米田米,MgSlMg	𮵼
米音十,MgArGl	𮵽
臣殳糸,DzQiHt	𮵾
纟又丶,RiWiOe	𮵿
纟王丶,RiGiOe	𮶀
纟册,RiJz	𮶁
纟夂丰,RiJtZh	𮶂
纟亻丨夂木,RiKjKsAj	𮶃
纟禾匕,RiZpNbHs	𮶄
纟宀谷,RiErPu	𮶅
纟勹丶勹丶,RiSnBlOe	𮶆
冖八廾,ErVyWh	𮶇
九羽,DpEh	𮶈
羽丷,EhVyPc	𮶉
羽心丿,EhNgCk	𮶊
羽虫,EhJw	𮶋
⺧儿羽,LzAhEh	𮶌
冫口丨羽,LvIqKsEh	𮶍
日小羽,JeWnOtEh	𮶎
耳勹冫,QgSnLv	𮶏
耳由,QgIs	𮶐
耳王丶,QgGiOe	𮶑
耳土土,QgBmBm	𮶒
耳一儿,QgIeFhAh	𮶓
月韦,MdQh	𮶔
月乂十,MdOsGl	𮶕
自夂,CjJt	𮶖
舟干,LkLr	𮶗
舟云,LkPd	𮶘
舟〢皿,LkKgZiBk	𮶙
舟音,LkArIe	𮶚
艹七,WhLn	𮶛
艹三,WhQn	𮶜
艹丶乂,WhOeOs	𮶝
艹飞,WhIb	𮶞
艹丷三,WhVyQn	𮶟
艹𠂇巾,WhGlUw	𮶠
艹口十,WhIqGl	𮶡
艹广木,WhGpAj	𮶢
艹冫亽龴,WhLvTuNd	𮶣
艹氵云,WhHgPd	𮶤
艹氵户,WhHgFk	𮶥
艹王攵,WhGiRy	𮶦
艹亻⺇一巾,WhKjPsUw	𮶧
艹门禾,WhBoZp	𮶨
艹犭讠犬,WhLeVxLe	𮶩
艹立勹冫,WhYqSnLv	𮶪
艹氵虫,WhHgJw	𮶫
艹钅一戈,WhCjFhIe	𮶬
艹丶水生,WhOeHgDh	𮶭
艹衤皮,WhOrEm	𮶮
艹王見,WhGiSc	𮶯
艹日月土,WhJeMdBm	𮶰
艹氵子,WhHgWnYd	𮶱
艹忄龷日,WhNgXkJe	𮶲
艹纟隹,WhRiVh	𮶳
艹隹心,WhVhNg	𮶴
艹氵宀{凬字心}一,WhHgErFh	𮶵
艹氵䒑,WhHgVyYv	𮶶
艹氵艹两,WhHgWhAm	𮶷
艹王廿口龶,WhGiXkZh	𮶸
艹氵门束丷,WhHgBoVy	𮶹
虍目,QbGy	𮶺
飞虫,IbJw	𮶻
虫示,JwDd	𮶼
虫丶水,JwOeHg	𮶽
虫耂子,JwRiYd	𮶾
衣冂人,OrZvSi	𮶿
衤王丶,OrGiOe	𮷀
衤口贝,OrIqDj	𮷁
衤宀至,OrErCy	𮷂
衤羽田龷八,OrEhSlVy	𮷃
丿⺍冖见,CkHgErUw	𮷄
讠小,VxLnOt	𮷅
讠田,VxSl	𮷆
讠小,VxNgOt	𮷇
讠大可,VxXiZj	𮷈
讠日勹,VxJeSnBl	𮷉
讠丿米田,VxCkMgSl	𮷊
豆力,EiAu	𮷋
贝亅,DjKs	𮷌
贝宀丁,DjErUe	𮷍
云口贝,PdIqDj	𮷎
口贝勹冫,IqDjSnLv	𮷏
丿口口贝,SiCkIqDj	𮷐
土口贝,BmYvIqDj	𮷑
⻊小大,UzOtXi	𮷒
身丶力丶,LcOeAuOe	𮷓
身未,LcJx	𮷔
丷身,VyPcLc	𮷕
车几,YfPs	𮷖
车大丶,YfXiOe	𮷗
车气,YfFq	𮷘
车鸟,YfWl	𮷙
丬士车,NbMfYf	𮷚
车车车,YfYfYf	𮷛
车䒑⺝刂,YfVyMdKg	𮷜
车爫臼,YfToWi	𮷝
辶,PcLt	𮷞
禾辶,ZpLt	𮷟
又土辶,WiBmLt	𮷠
犭犬辶,LeLeLt	𮷡
金辶,TkLt	𮷢
艹二儿辶,WhRlAhLt	𮷣
一几又辶,PcFhPsLt	𮷤
王页辶,GiKwLt	𮷥
予页辶,MaKwLt	𮷦
冂八口辶,YqZvVyLt	𮷧
厂力阝,OyAuTj	𮷨
月阝,MdTj	𮷩
亼⺍一阝,TuHgFhTj	𮷪
子皿阝,YdBkTj	𮷫
日业阝,JeOqTj	𮷬
禾日阝,ZpJeTj	𮷭
木目里,AjGyDn	𮷮
⺈小金,RlOtTk	𮷯
金口木,TkIqAj	𮷰
金衤刀,TkOrKg	𮷱
金人人龰,TkSiSiLd	𮷲
冫⺧儿金,LvLzAhTk	𮷳
金十罒一心,TkGlYtNg	𮷴
钅己,CjJc	𮷵
钅丶乂,CjOeOs	𮷶
钅丰,CjZh	𮷷
钅二儿,CjRlAh	𮷸
钅云,CjPd	𮷹
钅攵,CjRy	𮷺
钅几乂,CjPsOs	𮷻
钅⺆亠,CjZvUe	𮷼
钅予,CjMa	𮷽
钅艹乙,CjWhJg	𮷾
钅示,CjDd	𮷿
钅,CjLnOt	𮸀
钅亻丿七,CjKjCkLn	𮸁
钅用,CjQl	𮸂
钅丶水,CjOeHg	𮸃
钅戈𠂇,CjIeGl	𮸄
钅臣,CjDz	𮸅
钅广大,CjGpXi	𮸆
钅氵亍,CjHgJb	𮸇
钅冖车,CjErYf	𮸈
钅工贝,CjNvDj	𮸉
钅禾刂,CjZpKg	𮸊
钅人禾,CjSiZp	𮸋
钅㐅𠂇巾,CjOsGlUw	𮸌
钅广⺍一,CjGpHgFh	𮸍
钅门心,CjBoNg	𮸎
钅厶八夂,CjNdVyJt	𮸏
钅艹方,CjWhMx	𮸐
钅木木,CjAjAj	𮸑
钅日丿廾,CjJeCkWh	𮸒
钅刀八木,CjKgVyAj	𮸓
钅㇏日,CjZhOeJe	𮸔
钅一口田,CjFhIqSl	𮸕
钅〢又皿,CjKgWiBk	𮸖
钅日业,CjJeOq	𮸗
钅几,CjWnPs	𮸘
钅㇏禾,CjZhOeZp	𮸙
钅囗大心,CjUdXiNg	𮸚
钅山豆,CjDsEi	𮸛
钅宀豆,CjErEi	𮸜
钅艹冖王丶,CjWhErOe	𮸝
钅土,CjMzVyBm	𮸞
钅巾,CjXyUw	𮸟
钅宀艹见,CjErWhUw	𮸠
钅火火火,CjYvYvYv	𮸡
钅山豆几,CjDsEiPs	𮸢
钅⻗辰,CjTfQn	𮸣
镸一大,SiFhXi	𮸤
门士口,BoMfIq	𮸥
门立口,BoYqIq	𮸦
门䒑月,BoVyIaMd	𮸧
阝龶⺝,TjZhMd	𮸨
阝日生,TjJeDh	𮸩
阝犭大可,TjLeXiZj	𮸪
雨几丶,TfPsOe	𮸫
雨王丶,TfGiOe	𮸬
龶⺝亻匕十,ZhMdKjGl	𮸭
革见,GoUw	𮸮
丿㠯韦,CkUsQh	𮸯
一口田韦,FhIqSlQh	𮸰
音𠂉乙,ArLdJg	𮸱
音尤,ArGh	𮸲
音殳,ArQi	𮸳
页几丶,KwPsOe	𮸴
山矢页,DsEuKw	𮸵
日立页,JeYqKw	𮸶
音页,ArKw	𮸷
户𠕁页,FkJzKw	𮸸
户隹页,FkVhKw	𮸹
止页干丷,LdLdKwVy	𮸺
几乂日勹,PsOsJeBl	𮸻
火火火几乂,YvYvYvOs	𮸼
飞飞飞,IbIbIb	𮸽
飠文,OzWm	𮸾
饣豕,FnKt	𮸿
禾日宀,ZpJeErVy	𮹀
馬勹冫,GbSnLv	𮹁
马飞,XhIb	𮹂
马又又,XhWiWi	𮹃
马一,XhFhIa	𮹄
马一木,XhFhAj	𮹅
马巳廾,XhDuWh	𮹆
马丿廾土,XhCkWhBm	𮹇
马宀𠂇厶,XhErGlNd	𮹈
马龶⺝,XhZhMd	𮹉
马月月,XhMdMd	𮹊
马⺆土口,XhZvBmIq	𮹋
马日皿,XhJeBk	𮹌
马自心,XhCjNg	𮹍
马日罒又,XhJeYtWi	𮹎
马士冖豆,XhMfErEi	𮹏
马日日日,XhJeJeJe	𮹐
鬲冂一口,PwZvFhIq	𮹑
鬼大,ByXi	𮹒
文鱼,WmEi	𮹓
鸟水,WlHg	𮹔
亻弋鸟,KjNdWl	𮹕
口且鸟,IqRhWl	𮹖
山亽龴鸟,DsTuNdWl	𮹗
火火冖鸟,YvYvErWl	𮹘
山隹鸟,DsVhWl	𮹙
山金鸟,DsTkWl	𮹚
氵日小鸟,HgJeWnWl	𮹛
廿口匕灬鸟,XkIqNbWl	𮹜
龙龙龙,JhJhJh	𮹝
一レ,FhPv	𰀀
,Pc	𰀁
,Si	𰀂
一冂,FhZv	𰀃
ㅌ,Si	𰀄
丸一,TkFh	𰀅
一䒑,FhVy	𰀆
一ㄅ一ㄅ,FhPvFhPv	𰀇
龴,PcNd	𰀈
一口丨,FhIqKs	𰀉
巾一ㄅ,UwFhPv	𰀊
七川丨,LnJvKs	𰀋
一口巾,FhIqUw	𰀌
不牙,CiYb	𰀍
⺊一⺊一⺊一,DhFhDhFh	𰀎
⺊一艮,DhFhTp	𰀏
一⺧儿厶,FhLzAhNd	𰀐
丿土厶𬺰丿,CkBmNdCk	𰀑
一冂亼冂人,FhZvTuSi	𰀒
一里几,FhDnPs	𰀓
{凬字心}几土,TePsBm	𰀔
一冂人一冂人,FhZvSiSi	𰀕
一囗戈口一,FhUdIeFh	𰀖
⺊一⺊一⺊一⺊一,DhFhDhFh	𰀗
不宀女人,CiErSmSi	𰀘
一大户𠕁,FhXiFkJz	𰀙
不一止攵,CiFhLdRy	𰀚
一日日几土,FhJeJeBm	𰀛
不一止心丿,CiFhLdCk	𰀜
且且且,RhRhRh	𰀝
⻗田ヿ土,TfSlPvBm	𰀞
不束攵一止,CiUhRyLd	𰀟
丨ㄑ,KsPv	𰀠
〢又,KgWi	𰀡
〢,KgZi	𰀢
丩夫,HtSv	𰀣
𠁣王,MzGi	𰀤
㠯予,UsMa	𰀥
㠯㠯,UsUs	𰀦
丩⺆土口,HtZvBmIq	𰀧
田糸吕丨,SlHtNfKs	𰀨
丶王丶王,OeGiOeGi	𰀩
,Bl	𰀪
丿㇈,CkPv	𰀫
乃ㄥ人,ViPvSi	𰀬
禾匕力,ZpNbHsAu	𰀭
丿㠯木冂,CkUsAjZv	𰀮
乃氵丶艮,ViHgOeTp	𰀯
⺄⺄⺄,PvPvPv	𰀰
巜巜,JvJv	𰀱
不乙,CiJg	𰀲
⺄尤,PvGh	𰀳
毛乙,OuJg	𰀴
㇗丿山,PvCkDs	𰀵
龸乙,XyJg	𰀶
山几乚,DsPsPv	𰀷
也也,HeHe	𰀸
禾乙,ZpJg	𰀹
丶水乚,OeHgPv	𰀺
刀口乚,KgIqPv	𰀻
⺄厶口,PvNdIq	𰀼
覀乙,QpJg	𰀽
㇗西,PvQp	𰀾
亻戈乙,KjIeJg	𰀿
⺄䒑廾,PvVyWh	𰁀
走乙,QoJg	𰁁
且力乙,RhAuJg	𰁂
乙,OzVyJg	𰁃
目乙,GyVyJg	𰁄
口未乙,IqJxJg	𰁅
矢口乙,EuIqJg	𰁆
九一氺丶,DpFhHgOe	𰁇
ヿヿ丨丶口,PvPvKsOs	𰁈
日疋乙,JeKfJg	𰁉
貝刂乙,IcKgJg	𰁊
⺄口吅,PvIqRu	𰁋
⺄立立,PvYqYq	𰁌
里予乙,DnMaJg	𰁍
金匚コ乙,TkEhEhJg	𰁎
⺄辛,PvJtJt	𰁏
㇗⺊日𱕻,PvDhJeLw	𰁐
爫子千里乚,ToYdHcPv	𰁑
了了,FuFu	𰁒
龴⺈,PcNdRlUa	𰁓
一止⺈,FhLdRlUa	𰁔
七二,LnRl	𰁕
二亻丨,RlKjKs	𰁖
二尸丶,RlMzOe	𰁗
一土勹亼,FhBmSnTu	𰁘
一雨,FhTf	𰁙
一亻戈,FhWuKjIe	𰁚
云日罒又,PdJeYtWi	𰁛
亠,UeYv	𰁜
亡月月,XcMdMd	𰁝
亠罒,UeYtHg	𰁞
亡氵各,XcHgQy	𰁟
几云力,WnPsPdAu	𰁠
亻入,KjXj	𰁡
亻尸,KjMz	𰁢
亻弓,KjOd	𰁣
二儿人,RlAhSi	𰁤
亻冂又,KjZvWi	𰁥
亻攵,KjRy	𰁦
亻人人,KjSiSi	𰁧
亻片,KjNb	𰁨
人斗,SiPf	𰁩
亻又又,KjWiWi	𰁪
亻扌丁,KjPcUe	𰁫
亻冂大,KjZvXi	𰁬
亻爫乙,KjToJg	𰁭
白人,DySi	𰁮
亽水,TuHg	𰁯
弗人,UvSi	𰁰
亻大巳,KjXiDu	𰁱
亻十冂丨一,KjGlZvFh	𰁲
亻匚斤,KjEhOz	𰁳
亻土一𬺰,KjBmFhGl	𰁴
亻士子,KjMfYd	𰁵
亻弋山,KjNdDs	𰁶
亻日丨乙,KjJeKsJg	𰁷
亻⺌彐,KjOtSi	𰁸
亻日十,KjJeGl	𰁹
人⺊冂㐅,SiDhZvOs	𰁺
人口巾,SiIqUw	𰁻
亻丿冂口,KjCkZvIq	𰁼
人人,SiKgSiKg	𰁽
亻⺈贝,KjRlDj	𰁾
人囗口,SiUdIq	𰁿
亻⺁一口,KjOyFhIq	𰂀
亻文刂,KjWmKg	𰂁
亻氵工,KjHgNv	𰂂
亻彐寸,KjSiLw	𰂃
亻弓亼,KjOdTu	𰂄
亼口山,TuIqDs	𰂅
亻乚土土,KjPvBmBm	𰂆
亻貝,KjIc	𰂇
亻丨氵女,KjKsHgSm	𰂈
亻𠂉⺆亠丶,KjLdZvOe	𰂉
亻㐅𠂇口,KjOsGlIq	𰂊
亻门日,KjBoJe	𰂋
亻户口,KjFkIq	𰂌
亻厶小又,KjNdOtWi	𰂍
亻门月,KjBoMd	𰂎
亻十乛゛大,KjGlPvXi	𰂏
亻犬八刀,KjLeVyKg	𰂐
亼巾入入,TuUwXjXj	𰂑
亻冂䒑山,KjZvVyDs	𰂒
亻千匕,KjHcNbHs	𰂓
亻方人゛,KjMxSiLv	𰂔
入灬月,XjYvMd	𰂕
亻弗一卜,KjUvFhDh	𰂖
亻卅冖巾,KjFhErUw	𰂗
亻大羊,KjXiId	𰂘
亼舟刂,TuLkKg	𰂙
亼日月,TuJeMd	𰂚
亻山土寸,KjDsBmLw	𰂛
亻虫贝,KjJwDj	𰂜
人止干丷,SiLdLrVy	𰂝
亻户一冂人,KjFkFhSi	𰂞
亻了口又一,KjFuIqFh	𰂟
亻糹寸,KjHtLw	𰂠
亻又又又土,KjWiWiBm	𰂡
亻覀心,KjQpNg	𰂢
亻覀方,KjQpMx	𰂣
木人人斗,AjSiSiPf	𰂤
亻木丿皿,KjAjCkBk	𰂥
亻虍心,KjQbNg	𰂦
人口火土,SiIqYvBm	𰂧
亻丿㠯辶,KjCkUsLt	𰂨
亻礻且,KjDdRh	𰂩
亻貝攵,KjIcRy	𰂪
亻小牜勹,KjOtLzBl	𰂫
亻⺈田日,KjRlSlJe	𰂬
亻贝日勹,KjDjJeBl	𰂭
亻止二二一止,KjLdRlLd	𰂮
亻⺮聿,KjZiUa	𰂯
亻䒑业日,KjVyOqJe	𰂰
亻手,KjXyPc	𰂱
亻⺍冖見,KjHgErSc	𰂲
亻冖車辶,KjErJlLt	𰂳
亻八乂耳阝,KjVyOsTj	𰂴
人禾火心,SiZpYvNg	𰂵
亻衣里,KjOrDn	𰂶
亻冫欠貝,KjLvFyIc	𰂷
亻丷罒豕,KjVyYtKt	𰂸
亻宀井弓,KjErBzOd	𰂹
亻至刂士口,KjCyKgIq	𰂺
亻月丷夫贝,KjMdVyDj	𰂻
亻丷口儿儿,KjVyIqAh	𰂼
亻弗田人,KjUvSlKg	𰂽
亻大一白一白,KjXiFhDy	𰂾
木人人囗口廴,AjSiSiVv	𰂿
亻宀丿米田,KjErCkSl	𰃀
亻子丸灬,KjWnYdYv	𰃁
亻壴口灬,KjHsIqYv	𰃂
革力人禾,GoAuSiZp	𰃃
木人人亻至刂,AjSiSiKg	𰃄
亻⺊一示頁,KjDhFhWv	𰃅
亻⺧儿⺧儿贝,KjLzAhDj	𰃆
亻羽田龷八,KjEhSlVy	𰃇
亻弗丿皿丿,KjUvCkHg	𰃈
亻日小頁,KjJeWnWv	𰃉
儿⺊一,AhDhFh	𰃊
乃口儿,ViIqAh	𰃋
光力,SjAu	𰃌
古光,QmSj	𰃍
白丨日儿,DyKsJeAh	𰃎
二儿千里,RlAhHcDn	𰃏
光龙,SjJhBl	𰃐
光氵由,SjHgIs	𰃑
光勹心,SjSnBlNg	𰃒
宀且丿罒儿,ErRhCkAh	𰃓
光儿,SjXyAh	𰃔
光⻗日乚,SjTfJePv	𰃕
入井,XjBz	𰃖
入十月,XjGlMd	𰃗
入小大,XjOtXi	𰃘
⺁一口入,OyFhIqXj	𰃙
入車,XjJl	𰃚
豆入,EiXj	𰃛
入廿㇗木,XjXkPvAj	𰃜
