⺀	(丶丶,OeOe,bīng_èr,部首補充)
𩝴	(爿寸,OzNbMdLw,,CJK-B)
𩝵	(㠯㠯,UsUsOz,,CJK-B)
𩝶	(彳丨夂彡食,JbKsJtOz,,CJK-B)
𩝷	(飠烏,OzTz,wū,CJK-B)
𩝸	(冖兔,OzErZh,yuān,CJK-B)
𩝹	(巛口巴,OzJvIqEw,,CJK-B)
𩝺	(飠扌爫女,OzPcToSm,,CJK-B)
𩝻	(飠十目,OzGlGyVy,,CJK-B)
𩝼	(一大十廾,OzFhXiWh,,CJK-B)
𩝽	(弓厶虫,OzOdNdJw,jiàng,CJK-B)
𩝾	(冂八口,OzYqZvIq,xiǎng,CJK-B)
𩝿	(冂古,OzYqZvQm,zhāi,CJK-B)
𩞀	(厶厶厶人彡,OzNdNdBl,sǎn_chěn_càn,CJK-B)
𩞁	(麻,OnOz,mó_mí,CJK-B)
𩞂	(口虎,IqQbOz,,CJK-B)
𩞃	(𠂉日一勹,OzLdJeBl,shǎng_xiǎng,CJK-B)
𩞄	(一曲日,OzFhRwJe,cáo,CJK-B)
𩞅	(山隹,OzDsVh,suī,CJK-B)
𩞆	(彳人人龰,OzJbSiLd,chuáng,CJK-B)
𩞇	(,CuOz,mí,CJK-B)
𩞈	(豕辶,OzKtLt,zhú,CJK-B)
𩞉	(山宀示,OzDsErDd,chóng,CJK-B)
𩞊	(旡,OzTpUe,jì,CJK-B)
𩞋	(广肀用,OzGpUaQl,chóng,CJK-B)
𩞌	(束欠,UhFyOz,,CJK-B)
𩞍	(束辶,OzUhLt,,CJK-B)
𩞎	(廿口龶,XkIqZhOz,,CJK-B)
𩞏	(車斤,OzJlOz,,CJK-B)
𩞐	(彳人人龰,JbSiSiOz,,CJK-B)
𩞑	(十⺿大十,OzGlWhGl,,CJK-B)
𩞒	(飠虫囗口,OzJwUdIq,,CJK-B)
𩞓	(飠口十囗口,OzIqGlIq,,CJK-B)
𩞔	(飠土龷八十,OzBmXkGl,,CJK-B)
𩞕	(束攵食,UhRyOz,,CJK-B)
𩞖	(⺷皿,OzIdBk,,CJK-B)
𩞗	(日貝,OzJeIc,,CJK-B)
𩞘	(飠廿巾入入,OzXkUwXj,,CJK-B)
𩞙	(車辶,OzJlLt,lián,CJK-B)
𩞚	(白匕旡,DyHsUeOz,,CJK-B)
𩞛	(飠爫口木,OzToIqAj,,CJK-B)
𩞜	(飠宀工皿,OzErNvBk,,CJK-B)
𩞝	(飠丿龱八夂,OzCkLwJt,,CJK-B)
𩞞	(口旡旡,OzIqUeUe,hài,CJK-B)
𩞟	(丬爫寸,NbToLwOz,,CJK-B)
𩞠	(乡隹,FfVhOz,,CJK-B)
𩞡	(音,OzArIe,,CJK-B)
𩞢	(阝𠂇工⺼,OzTjGlMd,,CJK-B)
𩞣	(口一ㄅ⺁二巾,IqFhPvOz,,CJK-B)
𩞤	(子攵,WnYdRyOz,dūn,CJK-B)
𩞥	(尚攵,OzXyRy,xiǎng,CJK-B)
𩞦	(手,OzXyPc,chēng,CJK-B)
𩞧	(象,OzWp,shǎng,CJK-B)
𩞨	(厂禾禾,OyZpZpOz,lì,CJK-B)
𩞩	(黃,OzBx,huáng,CJK-B)
𩞪	(而而,OzUaUa,,CJK-B)
𩞫	(田⺿,OzSlWhVy,,CJK-B)
𩞬	(癶豆,OzVyEi,dèng,CJK-B)
𩞭	(⺷丶水,OzIdOeHg,,CJK-B)
𩞮	(虫囗,OzJwUdIq,,CJK-B)
𩞯	(飠日一里,OzJeFhDn,liáng,CJK-B)
𩞰	(飠⺮亼口,OzZiTuIq,,CJK-B)
𩞱	(飠土辶,OzBmIdLt,,CJK-B)
𩞲	(夫夫日,OzSvSvJe,,CJK-B)
𩞳	(飠十艹人人十,OzGlWhGl,,CJK-B)
𩞴	(飠十艹冖八十,OzGlWhGl,,CJK-B)
𩞵	(士冖,OzMfErWu,,CJK-B)
𩞶	(飠艹阝厶夫,OzWhTjSv,zā,CJK-B)
𩞷	(田,OzFmSl,,CJK-B)
𩞸	(飠覀米,OzQpMg,,CJK-B)
𩞹	(日月犬食,JeMdLeOz,,CJK-B)
𩞺	(⺆土口欠,ZvBmIqOz,huò,CJK-B)
𩞻	(飠米夕㐄,OzMgXuGj,lín,CJK-B)
𩞼	(厶厶厶人⺗,OzNdNdNg,,CJK-B)
𩞽	(癶弓殳,OzVyOdQi,,CJK-B)
𩞾	(罒勹虫,OzYtSnJw,dú_yì,CJK-B)
𩞿	(戊一口心,OzUcFhNg,hàn,CJK-B)
𩟀	(亠乡隹,OzUeFfVh,yōng_yǒng,CJK-B)
𩟁	(罒一口𧘇,OzYtFhOr,yuàn_xuàn,CJK-B)
𩟂	(冎口辶,OzFvIqLt,guò,CJK-B)
𩟃	(⻗亽龴,OzTfTuNd,líng,CJK-B)
𩟄	(巳灬,OzDzDuYv,,CJK-B)
𩟅	(僉,OzOr,liǎn,CJK-B)
𩟆	(𠂇工⺼辶,OzGlNvLt,,CJK-B)
𩟇	(丿冂丿米大,OzCkZvXi,ào,CJK-B)
𩟈	(田,OzXySl,dāng,CJK-B)
𩟉	(罒勹土土,OzYtSnBm,yì,CJK-B)
𩟊	(曲辰,OzRwQn,nóng,CJK-B)
𩟋	(⺈厂八言,OzRlOyMe,shàn,CJK-B)
𩟌	(飠艹土厶丿大,OzWhBmXi,,CJK-B)
𩟍	(囗气米,OzUdFqMg,xìn,CJK-B)
𩟎	(飠口吅木,OzIqRuAj,,CJK-B)
𩟏	(戈戈皿,OzIeIeBk,,CJK-B)
𩟐	(飠土羊辶,OzBmIdLt,dá,CJK-B)
𩟑	(飠山山山人,OzDsDsKg,yù,CJK-B)
𩟒	(飠穴土八夂,OzZiBmJt,cān,CJK-B)
𩟓	(卝隹又,OzWhVhWi,wò,CJK-B)
𩟔	(宀示,OzErVyDd,chá,CJK-B)
𩟕	(士乛工一口寸,OzMfPvLw,bó,CJK-B)
𩟖	(儿儿,OzZhAhAh,,CJK-B)
𩟗	(氵車斤,HgJlOzOz,jiǎn,CJK-B)
𩟘	(⺿乛水一灬,OzWhPvYv,,CJK-B)
𩟙	(十戈隹,OzGlIeVh,,CJK-B)
𩟚	(壴皮食,HsEmOz,,CJK-B)
𩟛	(⺿甫寸,OzWhGnLw,,CJK-B)
𩟜	(山飠屮凵{云变},DsOzIaJv,,CJK-B)
𩟝	(⺻灬皿,OzUaYvBk,,CJK-B)
𩟞	(飠艹罒冖夕,OzWhYtXu,méng,CJK-B)
𩟟	(飠𠂇工⺝皿,OzGlNvBk,wěi,CJK-B)
𩟠	(飠麻幺,OzOnBl,mó,CJK-B)
𩟡	(飠业⺷寸,OzOqIdLw,,CJK-B)
𩟢	(飠艹氵甫,OzWhHgGn,,CJK-B)
𩟣	(𠂇工日皿,OzGlNvBk,,CJK-B)
𩟤	(𠂇工囚皿,OzGlNvBk,,CJK-B)
𩟥	(山隹,OzDsVhZv,shuì_juǎn,CJK-B)
𩟦	(小隹戈,OzOtVhIe,jié,CJK-B)
𩟧	(白幺幺木,OzDyBlAj,shuò,CJK-B)
𩟨	(⺆土口谷,ZvBmIqOz,huò,CJK-B)
𩟩	(飠宀大丷日小,OzErXiOt,,CJK-B)
𩟪	(夫夫貝,OzSvSvIc,,CJK-B)
𩟫	(飠又又又又酉,OzWiWiTi,chuò,CJK-B)
𩟬	(飠石石石,OzQqQqQq,,CJK-B)
𩟭	(立⺝,OzYqMdIa,lóng,CJK-B)
𩟮	(衣罒水,OzOrYtHg,huài,CJK-B)
𩟯	(⻗隹,OzTfVh,,CJK-B)
𩟰	(十口冖石木,OzGlIqAj,tuō,CJK-B)
𩟱	(人貝,OzWiSiIc,,CJK-B)
𩟲	(飠大十艹貝,OzXiGlIc,,CJK-B)
𩟳	(飠人禾田心,OzSiZpNg,yú,CJK-B)
𩟴	(木木⺝攴,OzAjAjRy,,CJK-B)
𩟵	(飠⺮馬,OzZiGb,,CJK-B)
𩟶	(人人戈非一,OzSiSiFh,chàn_jié,CJK-B)
𩟷	(巛口巴隹,JvIqEwOz,yōng,CJK-B)
𩟸	(宀工口宀工口,ErNvIqOz,huò,CJK-B)
𩟹	(飠目目隹,OzGyGyVh,,CJK-B)
𩟺	(飠艹臣皿,OzWhDzBk,lǎn,CJK-B)
𩟻	(飠日衣吅井一,OzJeOrFh,,CJK-B)
𩟼	(飠爫女⺶㇏丶艮,OzToSmTp,,CJK-B)
𩟽	(飠⻗口吅工人人,OzTfIqSi,,CJK-B)
𩟾	(饣氏,FnQu,,CJK-B)
𩟿	(饣冂人,FnZvSi,nà,CJK-B)
𩠀	(饣巴,FnEw,bā,CJK-B)
𩠁	(饣甘,FnMz,gān,CJK-B)
𩠂	(饣𠂉也,FnLdHe,yǐ,CJK-B)
𩠃	(饣夫丷,FnSvVy,jiá,CJK-B)
𩠄	(饣未丷,FnJxVy,,CJK-B)
𩠅	(饣大辶,FnXiLt,dá,CJK-B)
𩠆	(饣宀疋,FnErKf,dìng,CJK-B)
𩠇	(饣⺄十辶,FnPvGlLt,xùn,CJK-B)
𩠈	(饣亽ヿ心,FnTuPvNg,rěn,CJK-B)
𩠉	(饣丷夫⺋,FnVySvWj,juǎn,CJK-B)
𩠊	(饣山而,FnDsUa,tuán,CJK-B)
𩠋	(饣疋⺝,FnKfMd,xǔ,CJK-B)
𩠌	(饣䒑大辶,FnVyXiLt,sòng,CJK-B)
𩠍	(饣方𠂉疋,FnMxLdKf,,CJK-B)
𩠎	(饣一曲日,FnFhRwJe,cáo,CJK-B)
𩠏	(饣手,FnXyPc,chēng,CJK-B)
𩠐	(巛一自,JvFhCj,,CJK-B)
𩠑	(丁䒑自,UeVyCj,dǐng,CJK-B)
𩠒	(九巛一自,DpJvFhCj,,CJK-B)
𩠓	(䒑自𠂉乙,VyCjLdJg,,CJK-B)
𩠔	(䒑自毛,VyCjOu,,CJK-B)
𩠕	(䒑自𠂇乂丶,VyCjGlOe,,CJK-B)
𩠖	(𠂇乂丶巛一自,GlOsOeCj,,CJK-B)
𩠗	(皮䒑自,EmVyCj,,CJK-B)
𩠘	(䒑自夕卜,VyCjXuDh,,CJK-B)
𩠙	(𠂇乂丶䒑自,GlOsOeCj,,CJK-B)
𩠚	(䒑自亥,VyCjYg,hái,CJK-B)
𩠛	(䒑自,VyCjDz,,CJK-B)
𩠜	(巛一自日,JvFhCjJe,,CJK-B)
𩠝	(巛一自臣,JvFhCjDz,,CJK-B)
𩠞	(臣巛一自,DzJvFhCj,,CJK-B)
𩠟	(䒑自巳人丨,VyCjDuKs,wǔ,CJK-B)
𩠠	(䒑自人云,VyCjSiPd,,CJK-B)
𩠡	(巛一自,JvFhCjDz,,CJK-B)
𩠢	(巛一自,DzJvFhCj,,CJK-B)
𩠣	(大人人巛一自,XiSiSiCj,,CJK-B)
𩠤	(䒑自甫,VyCjGn,,CJK-B)
𩠥	(⺊目䒑自,DhGyVyCj,,CJK-B)
𩠦	(⺌⺼䒑自,OtMdVyCj,qǐ_shǒu,CJK-B)
𩠧	(䒑自尸𠃌口,VyCjMzIq,,CJK-B)
𩠨	(禾丸䒑自,ZpTkVyCj,jī_qǐ,CJK-B)
𩠩	(䒑自乂乂攵,VyCjOsRy,,CJK-B)
𩠪	(文厂彡巛一自,WmOyBlCj,,CJK-B)
𩠫	(冖車巛一自,ErJlJvCj,,CJK-B)
𩠬	(䒑自䒑自,VyCjVyCj,,CJK-B)
𩠭	(䒑自尸至,VyCjMzCy,,CJK-B)
𩠮	(䒑自冖止支,VyCjErBh,kuí,CJK-B)
𩠯	(䒑自女,VyCjSmDz,wéi,CJK-B)
𩠰	(䒑自冖一止攵,VyCjErRy,,CJK-B)
𩠱	(䒑自丿㠯辶,VyCjCkLt,,CJK-B)
𩠲	(䒑自囗戈口一,VyCjUdFh,,CJK-B)
𩠳	(䒑自木隹,VyCjAjVh,,CJK-B)
𩠴	(䒑自亼囗⺌日,VyCjTuJe,,CJK-B)
𩠵	(䒑自宀井木,VyCjErAj,,CJK-B)
𩠶	(女束攵䒑自,SmUhRyCj,shǒu,CJK-B)
𩠷	(髟𠂇又丶䒑自,BeGlWiCj,fú,CJK-B)
𩠸	(䒑自⺮馬,VyCjZiGb,,CJK-B)
𩠹	(幺幺一幺幺㇗斤䒑自,BlBlFhCj,tuán,CJK-B)
𩠺	(禾日一,ZpJeFh,,CJK-B)
𩠻	(禾日亼乛,ZpJeTuPv,bié_hān,CJK-B)
𩠼	(禾木日,ZpAjJe,,CJK-B)
𩠽	(禾日木,ZpJeAj,tán,CJK-B)
𩠾	(疒禾日,XuZpJe,hāng,CJK-B)
𩠿	(禾日一木,ZpJeFhAj,piē,CJK-B)
𩡀	(禾日凵木,ZpJeZvAj,,CJK-B)
𩡁	(禾日亼龴,ZpJeTuNd,,CJK-B)
𩡂	(禾日儿冫,ZpJeAhLv,,CJK-B)
𩡃	(禾日日丨,ZpJeJeKs,yú,CJK-B)
𩡄	(禾日禾,ZpJeZp,tán_xiāng,CJK-B)
𩡅	(禾日米,ZpJeMg,,CJK-B)
𩡆	(禾日己己,ZpJeJcJc,,CJK-B)
𩡇	(禾日夂丰,ZpJeJtZh,,CJK-B)
𩡈	(禾日⺌⺼,ZpJeOtMd,,CJK-B)
𩡉	(禾日艹八刀,ZpJeWhKg,,CJK-B)
𩡊	(禾女禾日,ZpSmZpJe,,CJK-B)
𩡋	(禾日一大⺗,ZpJeFhNg,,CJK-B)
𩡌	(禾日禾日,ZpJeZpJe,xiāng,CJK-B)
𩡍	(禾水日犬,ZpHgJeLe,,CJK-B)
𩡎	(禾日山幺幺,ZpJeDsBl,xiū,CJK-B)
𩡏	(禾日𠂇⺝阝,ZpJeGlTj,,CJK-B)
𩡐	(禾日禾日,ZpJeZpJe,,CJK-B)
𩡑	(亠日夕禾日,UeJeXuJe,,CJK-B)
𩡒	(禾日十冖子力,ZpJeGlAu,,CJK-B)
𩡓	(禾日厶羽,ZpJeVyEh,wěng,CJK-B)
𩡔	(禾日宀丰口,ZpJeErIq,hài,CJK-B)
𩡕	(冖方禾日,YqErMxJe,péng,CJK-B)
𩡖	(禾日爫冖𠂇又,ZpJeToWi,,CJK-B)
𩡗	(禾日自犬,ZpJeCjLe,,CJK-B)
𩡘	(禾日一自夂,ZpJeFhJt,,CJK-B)
𩡙	(禾日廿巾入入,ZpJeXkXj,,CJK-B)
𩡚	(禾日⺷皿,ZpJeIdBk,,CJK-B)
𩡛	(尸示寸禾日,MzDdLwJe,,CJK-B)
𩡜	(禾日丶月,ZpJeOeMd,,CJK-B)
𩡝	(禾日覀日十,ZpJeQpGl,tán,CJK-B)
𩡞	(禾日虫貝,ZpJeJwIc,,CJK-B)
𩡟	(禾日业雨,ZpJeOqTf,bié,CJK-B)
𩡠	(禾人氺禾日,ZpSiHgJe,xiāng,CJK-B)
𩡡	(禾日㡀攵,ZpJeKtRy,,CJK-B)
𩡢	(禾日禾日灬,ZpJeZpYv,,CJK-B)
𩡣	(禾日爫冖心夂,ZpJeToJt,yǐ,CJK-B)
𩡤	(禾日⺿土厶皿,ZpJeWhBk,,CJK-B)
𩡥	(禾日亠口丨囗缶小,ZpJeUeOt,,CJK-B)
𩡦	(禾日一口丨囗,ZpJeFhUd,piáo,CJK-B)
𩡧	(马卌,XhDs,huán,CJK-B)
𩡨	(丿馬,CkGb,mǔ,CJK-B)
𩡩	(馬,GbVy,bā,CJK-B)
𩡪	(十馬,GlGb,,CJK-B)
𩡫	(几馬,PsGb,fàn,CJK-B)
𩡬	(馬,GbLv,,CJK-B)
𩡭	(馬卜,GbDh,,CJK-B)
𩡮	(馬人,GbSi,,CJK-B)
𩡯	(馬丁,GbUe,dīng,CJK-B)
𩡰	(馬⺄十,GbPvGl,,CJK-B)
𩡱	(大馬,XiGb,,CJK-B)
𩡲	(馬刀丶,GbKgOe,,CJK-B)
𩡳	(馬口,GbIq,,CJK-B)
𩡴	(馬千,GbHc,,CJK-B)
𩡵	(⺄十馬,PvGlGb,,CJK-B)
𩡶	(馬土,GbBm,,CJK-B)
𩡷	(犬馬,LeGb,fēn_fèi,CJK-B)
𩡸	(馬一巾,GbFhUw,,CJK-B)
𩡹	(馬气,GbFq,,CJK-B)
𩡺	(馬人,GbSiKg,jiè,CJK-B)
𩡻	(馬丿大,GbCkXi,,CJK-B)
𩡼	(馬亠卜,GbUeDh,,CJK-B)
𩡽	(爿馬,NbGb,,CJK-B)
𩡾	(馬小丿,GbOtCk,suó,CJK-B)
𩡿	(一馬,ZvFhGb,,CJK-B)
𩢀	(馬一,GbFhIa,,CJK-B)
𩢁	(䒑丿馬,VyCkGb,,CJK-B)
𩢂	(又又馬,WiWiGb,,CJK-B)
𩢃	(馬又又,GbWiWi,,CJK-B)
𩢄	(馬二儿,GbRlAh,wàn,CJK-B)
𩢅	(馬戈,GbIe,gē,CJK-B)
𩢆	(馬巾一ㄅ,GbUwFhPv,,CJK-B)
𩢇	(馬亻又,GbKjWi,,CJK-B)
𩢈	(馬十,GbHsGl,fēn,CJK-B)
𩢉	(戶馬,FkGb,,CJK-B)
𩢊	(馬力力,GbAuAu,tuó,CJK-B)
𩢋	(馬月,GbMd,,CJK-B)
𩢌	(文馬,WmGb,wén,CJK-B)
𩢍	(馬瓜,GbQj,guā,CJK-B)
𩢎	(馬屮凵,GbIaZv,duō,CJK-B)
𩢏	(馬口,GbIqKg,,CJK-B)
𩢐	(馬乍,GbEl,zhé,CJK-B)
𩢑	(止匕馬,LdHsGb,cǐ,CJK-B)
𩢒	(馬幺力,GbBlAu,yǎo,CJK-B)
𩢓	(馬丱,GbWh,,CJK-B)
𩢔	(馬丷,GbVyPc,bàn,CJK-B)
𩢕	(馬木一,GbAjFh,bù,CJK-B)
𩢖	(馬一木,GbFhAj,mò,CJK-B)
𩢗	(工卩馬,NvWjGb,,CJK-B)
𩢘	(馬匚口,GbEhIq,pǒ,CJK-B)
𩢙	(大丷馬,XiVyGb,,CJK-B)
𩢚	(馬丿𠂇乂,GbCkGlOs,,CJK-B)
𩢛	(馬勹乂㇗,GbSnOsPv,gé,CJK-B)
𩢜	(馬人小,GbSiOt,,CJK-B)
𩢝	(馬片,GbNb,,CJK-B)
𩢞	(馬工卩,GbNvWj,liú,CJK-B)
𩢟	(馬力口,GbAuIq,,CJK-B)
𩢠	(厶口馬,NdIqGb,,CJK-B)
𩢡	(馬冂土,GbZvBm,rǎn,CJK-B)
𩢢	(馬口八,GbIqVy,,CJK-B)
𩢣	(馬丷二ㄅ,GbVyRlPv,,CJK-B)
𩢤	(馬王丶,GbGiOe,,CJK-B)
𩢥	(冂大馬,ZvXiGb,,CJK-B)
𩢦	(馬夂゛,GbJtLv,,CJK-B)
𩢧	(馬土厶,GbBmNd,,CJK-B)
𩢨	(馬甘,GbMz,gān,CJK-B)
𩢩	(馬卝一,GbWhFh,,CJK-B)
𩢪	(馬古,GbQm,hú,CJK-B)
𩢫	(生馬,DhGb,móu,CJK-B)
𩢬	(馬⺊尸,GbDhMz,,CJK-B)
𩢭	(馬止匕,GbLdHs,,CJK-B)
𩢮	(亻木馬,KjAjGb,xiū,CJK-B)
𩢯	(馬亾,GbXcJv,huāng,CJK-B)
𩢰	(馬亻犬,GbKjLe,fú,CJK-B)
𩢱	(馬囗口,GbUdIq,huí,CJK-B)
𩢲	(馬一口,GbFhIqOs,,CJK-B)
𩢳	(羽馬,EhGb,qú,CJK-B)
𩢴	(馬士口,GbMfIq,jié_jí,CJK-B)
𩢵	(馬宀丿七,GbErCkLn,tuō,CJK-B)
𩢶	(馬日,GbJeOs,yú,CJK-B)
𩢷	(馬一白,GbFhDy,mò,CJK-B)
𩢸	(馬舟,GbLk,zhōu,CJK-B)
𩢹	(馬臼,GbWi,jiù,CJK-B)
𩢺	(馬厶⺝,GbNdMd,,CJK-B)
𩢻	(丿未馬,CkJxGb,shú,CJK-B)
𩢼	(馬匚王,GbEhGi,kuāng,CJK-B)
𩢽	(工⺄十馬,NvPvGlGb,qióng,CJK-B)
𩢾	(歹刂馬,QmKgGb,liè,CJK-B)
𩢿	(馬缶,GbUs,fù,CJK-B)
𩣀	(馬冂人人,GbZvSiSi,,CJK-B)
𩣁	(馬冂亼ㄅ,GbZvTuPv,,CJK-B)
𩣂	(⺧儿馬,LzAhGb,,CJK-B)
𩣃	(馬巛山,GbJvDs,,CJK-B)
𩣄	(馬厂匕,GbOyHsHs,,CJK-B)
𩣅	(臼馬,WiGb,,CJK-B)
𩣆	(馬羊,GbId,,CJK-B)
𩣇	(馬亡,GbXcJv,,CJK-B)
𩣈	(亾馬,XcJvGb,,CJK-B)
𩣉	(女口馬,SmIqGb,,CJK-B)
𩣊	(馬戊一,GbUcFh,xù,CJK-B)
𩣋	(馬𠂇⺝,GbGlMd,,CJK-B)
𩣌	(馬,GbWu,,CJK-B)
𩣍	(馬亻卩,GbKjNgWj,,CJK-B)
𩣎	(夫馬,HsSvGb,,CJK-B)
𩣏	(夕㐄馬,XuGjGb,,CJK-B)
𩣐	(亡馬,XcJvGb,,CJK-B)
𩣑	(馬宀女,GbErSm,,CJK-B)
𩣒	(馬刀刀刀,GbKgKgKg,,CJK-B)
𩣓	(馬𠂉攴,GbLdRy,,CJK-B)
𩣔	(馬大二ㄅ,GbXiRlPv,,CJK-B)
𩣕	(馬匚斤,GbEhOz,,CJK-B)
𩣖	(馬文口,GbWmIq,lìn,CJK-B)
𩣗	(一氺丶馬,FhHgOeGb,,CJK-B)
𩣘	(馬耳㇗,GbQgPv,niè,CJK-B)
𩣙	(馬干日,GbLrJe,,CJK-B)
𩣚	(馬不口,GbCiIq,pī_bǐ,CJK-B)
𩣛	(馬丿乚土土,GbCkPvBm,,CJK-B)
𩣜	(馬𦈢,GbUs,fù,CJK-B)
𩣝	(馬止,GbLdLd,bù,CJK-B)
𩣞	(馬山及,GbDsKd,yì_sà,CJK-B)
𩣟	(氵小丿馬,HgOtCkGb,,CJK-B)
𩣠	(氵小丿馬,HgOtCkGb,,CJK-B)
𩣡	(馬十冖子,GbGlErYd,bó,CJK-B)
𩣢	(馬丿,GbCkLw,,CJK-B)
𩣣	(丿扌馬,CkPcIeGb,é_ě,CJK-B)
𩣤	(馬彡冖几,GbBlErPs,,CJK-B)
𩣥	(馬谷,GbPu,,CJK-B)
𩣦	(馬儿,GbZhAh,,CJK-B)
𩣧	(馬爫女,GbToSm,,CJK-B)
𩣨	(丿扌馬,CkPcIeGb,,CJK-B)
𩣩	(馬扌斤,GbPcOz,zhé,CJK-B)
𩣪	(馬一巛工,GbFhJvNv,,CJK-B)
𩣫	(馬禾刂,GbZpKg,lì,CJK-B)
𩣬	(馬一口丨又,GbFhIqWi,,CJK-B)
𩣭	(馬厶心,GbVyNdNg,,CJK-B)
𩣮	(馬兔,GbZh,tù,CJK-B)
𩣯	(馬水曰,GbHgRl,dá,CJK-B)
𩣰	(馬衣十,GbOrGl,,CJK-B)
𩣱	(馬土八土,GbBmVyBm,lù,CJK-B)
𩣲	(馬𠕁,GbJzVy,yān,CJK-B)
𩣳	(馬木日,GbAjJe,dōng,CJK-B)
𩣴	(馬广土厶,GbGpBmNd,qiè,CJK-B)
𩣵	(馬宀夕⺋,GbErXuWj,wǎn_wò,CJK-B)
𩣶	(日月馬,JeMdGb,mǐng,CJK-B)
𩣷	(千艹士馬,HcWhMfGb,zuī_zhù,CJK-B)
𩣸	(馬丿㠯十,GbCkUsGl,fù,CJK-B)
𩣹	(尸屮凵馬,MzIaZvGb,qū,CJK-B)
𩣺	(馬大十廾,GbXiGlWh,bēn,CJK-B)
𩣻	(⺿丿大馬,WhCkXiGb,ǎo,CJK-B)
𩣼	(馬穴工,GbZiNv,qiāng,CJK-B)
𩣽	(馬勹米,GbSnMg,,CJK-B)
𩣾	(馬阝𠂉也,GbTjLdHe,,CJK-B)
𩣿	(馬ヿ土ヿ土,GbPvBmBm,,CJK-B)
𩤀	(馬䒑业,GbVyOq,,CJK-B)
𩤁	(馬囗禾,GbUdZp,qūn,CJK-B)
𩤂	(馬⺈臼,GbRlWi,,CJK-B)
𩤃	(馬一,GbFhWu,,CJK-B)
𩤄	(大馬勹巳,XiGbSnDu,,CJK-B)
𩤅	(馬尸古,GbMzQm,,CJK-B)
𩤆	(木木馬,AjAjGb,,CJK-B)
𩤇	(馬侖,GbSy,,CJK-B)
𩤈	(馬龷日,GbXkJe,què,CJK-B)
𩤉	(馬⺿亻,GbWhKjHs,huá_táo,CJK-B)
𩤊	(馬戈戈,GbIeIe,xiàn_jiàn,CJK-B)
𩤋	(馬止木,GbLdAj,kùn,CJK-B)
𩤌	(虎馬,QbGb,,CJK-B)
𩤍	(馬勹,GbSnIaIa,,CJK-B)
𩤎	(馬广⺊口,GbGpDhIq,,CJK-B)
𩤏	(馬亠人人十,GbUeSiGl,cuì,CJK-B)
𩤐	(馬二勹方,GbRlSnMx,,CJK-B)
𩤑	(馬立,GbYqPc,,CJK-B)
𩤒	(馬宀且,GbErRh,yí,CJK-B)
𩤓	(馬尸屮凵,GbMzIaZv,,CJK-B)
𩤔	(馬大日乚,GbXiJePv,,CJK-B)
𩤕	(馬龶𧘇,GbZhOr,,CJK-B)
𩤖	(馬丿龱儿,GbCkLwAh,chī_ér,CJK-B)
𩤗	(馬癶毛,GbVyOu,zòng,CJK-B)
𩤘	(馬巛丿龱,GbJvCkLw,nǎo,CJK-B)
𩤙	(馬丁,GbWnUe,chéng,CJK-B)
𩤚	(馬山而,GbDsUa,duān,CJK-B)
𩤛	(馬田⽱,GbSlFj,yóng,CJK-B)
𩤜	(馬耂日,GbRiJe,zhě,CJK-B)
𩤝	(馬予丿攵,GbMaCkRy,,CJK-B)
𩤞	(馬冖八木,GbErVyAj,tàn,CJK-B)
𩤟	(馬日一勹,GbJeFhBl,yáng,CJK-B)
𩤠	(馬匕白,GbHsHsDy,xié,CJK-B)
𩤡	(宀{凬字心}一馬,ErTeFhGb,xuān,CJK-B)
𩤢	(馬冖巾,GbYqErUw,,CJK-B)
𩤣	(馬一殳,GbPcFhQi,duàn,CJK-B)
𩤤	(面馬,HfGb,shuǎ,CJK-B)
𩤥	(馬戊一口,GbUcFhIq,xián,CJK-B)
𩤦	(女女女馬,SmSmSmGb,xián,CJK-B)
𩤧	(馬山厂火,GbDsOyYv,,CJK-B)
𩤨	(馬亻冖又,GbKjSiWi,,CJK-B)
𩤩	(宀各馬,ErQyGb,é,CJK-B)
𩤪	(馬千人人凵,GbHcSiZv,,CJK-B)
𩤫	(馬弓工工,GbOdNvNv,,CJK-B)
𩤬	(馬一口冂口,GbFhIqIq,,CJK-B)
𩤭	(馬戈甲,GbIeSt,,CJK-B)
𩤮	(馬韋,GbIw,,CJK-B)
𩤯	(⺿冂大馬,WhZvXiGb,,CJK-B)
𩤰	(馬曲,GbRwVy,,CJK-B)
𩤱	(馬⺿田,GbWhSl,,CJK-B)
𩤲	(馬束刂,GbUhKg,lā,CJK-B)
𩤳	(馬一冂人攴,GbFhZvRy,,CJK-B)
𩤴	(馬厂龙,GbOyJhBl,,CJK-B)
𩤵	(馬日生,GbJeDh,,CJK-B)
𩤶	(馬日卯,GbJeFm,,CJK-B)
𩤷	(馬一,GbFhYv,,CJK-B)
𩤸	(馬田⺝,GbSlMd,wèi,CJK-B)
𩤹	(馬禾日,GbZpJe,yōu,CJK-B)
𩤺	(臼人馬,WiSiGb,yú,CJK-B)
𩤻	(馬爫丿夫,GbToCkSv,,CJK-B)
𩤼	(馬亼一业,GbTuFhOq,,CJK-B)
𩤽	(馬⺁虎,GbOyQb,tī,CJK-B)
𩤾	(馬虍文,GbQbWm,,CJK-B)
𩤿	(馬冖巾又,GbSiErWi,jīn,CJK-B)
𩥀	(馬气米,GbFqMg,,CJK-B)
𩥁	(馬广肀口,GbGpUaIq,táng,CJK-B)
