⺀	[丶丶,bīng_èr,部首補充]
𱱙	[疒龶口凵,,CJK-H]
𱱚	[疒虍也,,CJK-H]
𱱛	[疒宀臣,,CJK-H]
𱱜	[疒丷夫土,,CJK-H]
𱱝	[疒艹亡,,CJK-H]
𱱞	[疒〢皿,,CJK-H]
𱱟	[疒豸勹丶,,CJK-H]
𱱠	[疒勹勹,,CJK-H]
𱱡	[疒虎口,,CJK-H]
𱱢	[疒厶⺝𠂇又丶,,CJK-H]
𱱣	[疒氵卅冖巾,,CJK-H]
𱱤	[疒子攵,,CJK-H]
𱱥	[疒米夕㐄,,CJK-H]
𱱦	[疒龴用小,,CJK-H]
𱱧	[疒土烏,,CJK-H]
𱱨	[疒⺜⺝𠂇又丶,,CJK-H]
𱱩	[疒鱼禾,,CJK-H]
𱱪	[疒女䒑,,CJK-H]
𱱫	[疒豆束,,CJK-H]
𱱬	[疒女束攵,,CJK-H]
𱱭	[疒⺜⺝犬手,,CJK-H]
𱱮	[疒口欠木人人,,CJK-H]
𱱯	[疒彑虫,,CJK-H]
𱱰	[疒龠,,CJK-H]
𱱱	[疒䒑欠足,,CJK-H]
𱱲	[疒⻗田皿,,CJK-H]
𱱳	[疒金十戈口王,,CJK-H]
𱱴	[癶丁,,CJK-H]
𱱵	[癶口一,,CJK-H]
𱱶	[癶又,,CJK-H]
𱱷	[癶弓文,,CJK-H]
𱱸	[弓攵,,CJK-H]
𱱹	[⺊一癶豆,,CJK-H]
𱱺	[白卜,,CJK-H]
𱱻	[白又丶,,CJK-H]
𱱼	[白冖方,,CJK-H]
𱱽	[白丶月,,CJK-H]
𱱾	[白亻⺷丿扌,,CJK-H]
𱱿	[皮卜,,CJK-H]
𱲀	[皮丷丨,,CJK-H]
𱲁	[皮冂大,,CJK-H]
𱲂	[皮女卜,,CJK-H]
𱲃	[皮冂人人,,CJK-H]
𱲄	[皮儿冫,,CJK-H]
𱲅	[皮日勹亾,,CJK-H]
𱲆	[土非皮,,CJK-H]
𱲇	[皮艹廿㇗木,,CJK-H]
𱲈	[儿冫壴皮,,CJK-H]
𱲉	[皮耳耳耳,,CJK-H]
𱲊	[皮貝貝缶,,CJK-H]
𱲋	[犬皿,,CJK-H]
𱲌	[口一皿,,CJK-H]
𱲍	[子乚皿,,CJK-H]
𱲎	[土乃皿,,CJK-H]
𱲏	[夕丶一皿,,CJK-H]
𱲐	[乃夫皿,,CJK-H]
𱲑	[乃王皿,,CJK-H]
𱲒	[氵ㄋ皿,,CJK-H]
𱲓	[土攵皿,,CJK-H]
𱲔	[里尤皿,,CJK-H]
𱲕	[⺈灬⺄八刀皿,,CJK-H]
𱲖	[⺈灬⺄日皿,,CJK-H]
𱲗	[亠⺄八刀皿,,CJK-H]
𱲘	[走土厶皿,,CJK-H]
𱲙	[亠⺄囚皿,,CJK-H]
𱲚	[臣亠罒皿,,CJK-H]
𱲛	[⺽米皿,,CJK-H]
𱲜	[⺷皿大人人,,CJK-H]
𱲝	[亠⺄𡆪皿,,CJK-H]
𱲞	[目廾皿,,CJK-H]
𱲟	[丿廾彡頁皿,,CJK-H]
𱲠	[酉⺊龱皿,,CJK-H]
𱲡	[日羊丿廾皿,,CJK-H]
𱲢	[凵米八夂舟皿,,CJK-H]
𱲣	[丶丿目,,CJK-H]
𱲤	[力目,,CJK-H]
𱲥	[目ㄋ,,CJK-H]
𱲦	[目无,,CJK-H]
𱲧	[口一目,,CJK-H]
𱲨	[丿罒小,,CJK-H]
𱲩	[目之,,CJK-H]
𱲪	[目六,,CJK-H]
𱲫	[目巴,,CJK-H]
𱲬	[罒亻也,,CJK-H]
𱲭	[目丷一𬺰,,CJK-H]
𱲮	[目又,,CJK-H]
𱲯	[尸八目,,CJK-H]
𱲰	[目女又,,CJK-H]
𱲱	[目小大,,CJK-H]
𱲲	[⺊冖八目,,CJK-H]
𱲳	[目亻火,,CJK-H]
𱲴	[目儿匚コ,,CJK-H]
𱲵	[目丶干丷,,CJK-H]
𱲶	[礻乚目,,CJK-H]
𱲷	[目扌戈,,CJK-H]
𱲸	[礻又目,,CJK-H]
𱲹	[目足,,CJK-H]
𱲺	[目亻木一,,CJK-H]
𱲻	[丿罒夕丨人,,CJK-H]
𱲼	[亡目,,CJK-H]
𱲽	[目木八厶,,CJK-H]
𱲾	[目一肀女,,CJK-H]
𱲿	[十目一一止,,CJK-H]
𱳀	[目勹缶,,CJK-H]
𱳁	[爫耂目,,CJK-H]
𱳂	[目彳一止,,CJK-H]
𱳃	[目丰刀大,,CJK-H]
𱳄	[目一丰,,CJK-H]
𱳅	[目耳又又,,CJK-H]
𱳆	[鬼目,,CJK-H]
𱳇	[目人禾斗,,CJK-H]
𱳈	[龵目耂子,,CJK-H]
𱳉	[目土匕土丶,,CJK-H]
𱳊	[壴文目,,CJK-H]
𱳋	[目木木疋,,CJK-H]
𱳌	[目目穴口,,CJK-H]
𱳍	[目⻊各,,CJK-H]
𱳎	[目⺈⺈厂言,,CJK-H]
𱳏	[目⺈匕土口,,CJK-H]
𱳐	[目⺈厂儿立口,,CJK-H]
𱳑	[目⺈卝厂土口,,CJK-H]
𱳒	[目广子阝,,CJK-H]
𱳓	[音一自,,CJK-H]
𱳔	[目尸吕禸,,CJK-H]
𱳕	[丨厶厶厂一目一乂,,CJK-H]
𱳖	[目⺈尸人人土口,,CJK-H]
𱳗	[目宀丿米田,,CJK-H]
𱳘	[目臣見,,CJK-H]
𱳙	[目⺈厂非一口,,CJK-H]
𱳚	[目言艹日大,,CJK-H]
𱳛	[予丿示,,CJK-H]
𱳜	[予丿攵口,,CJK-H]
𱳝	[矢而,,CJK-H]
𱳞	[矢冫欠,,CJK-H]
𱳟	[矢一月刂,,CJK-H]
𱳠	[矢止巳,,CJK-H]
𱳡	[矢口白,,CJK-H]
𱳢	[矢面,,CJK-H]
𱳣	[矢可可,,CJK-H]
𱳤	[矢口一业二ㄅ,,CJK-H]
𱳥	[矢𠂉卌一灬,,CJK-H]
𱳦	[矢氵匚コ木,,CJK-H]
𱳧	[矢冎口辶,,CJK-H]
𱳨	[石门,,CJK-H]
𱳩	[石一⺊ㄅ,,CJK-H]
𱳪	[石大丶,,CJK-H]
𱳫	[石十刀,,CJK-H]
𱳬	[车石,,CJK-H]
𱳭	[石井,,CJK-H]
𱳮	[石月,,CJK-H]
𱳯	[石仑,,CJK-H]
𱳰	[石手,,CJK-H]
𱳱	[石长,,CJK-H]
𱳲	[卩石,,CJK-H]
𱳳	[石乌,,CJK-H]
𱳴	[石一冂人,,CJK-H]
𱳵	[石口十,,CJK-H]
𱳶	[石亡十,,CJK-H]
𱳷	[石䒑,,CJK-H]
𱳸	[石ㄥ人十,,CJK-H]
𱳹	[石⺌彐,,CJK-H]
𱳺	[石巛廴,,CJK-H]
𱳻	[口巾石,,CJK-H]
𱳼	[石九木,,CJK-H]
𱳽	[石文十,,CJK-H]
𱳾	[石彐寸,,CJK-H]
𱳿	[石己工,,CJK-H]
𱴀	[石巳寸,,CJK-H]
𱴁	[石不口,,CJK-H]
𱴂	[石束,,CJK-H]
𱴃	[石扌巴,,CJK-H]
𱴄	[石未丷,,CJK-H]
𱴅	[⺊石又口,,CJK-H]
𱴆	[石囗水,,CJK-H]
𱴇	[石口王,,CJK-H]
𱴈	[石白七,,CJK-H]
𱴉	[石广⺍一,,CJK-H]
𱴊	[石巛㐅凵,,CJK-H]
𱴋	[石刀丶心,,CJK-H]
𱴌	[石木木,,CJK-H]
𱴍	[石大丶辶,,CJK-H]
𱴎	[石非,,CJK-H]
𱴏	[石囗王丶,,CJK-H]
𱴐	[石齿,,CJK-H]
𱴑	[石冖八木,,CJK-H]
𱴒	[石兔,,CJK-H]
𱴓	[石人人一廾,,CJK-H]
𱴔	[石氵土厶,,CJK-H]
𱴕	[石冖,,CJK-H]
𱴖	[石亠幺,,CJK-H]
𱴗	[石广⺊口,,CJK-H]
𱴘	[石龷八巳,,CJK-H]
𱴙	[石卅冖巾,,CJK-H]
𱴚	[石田⺝,,CJK-H]
𱴛	[禾火石,,CJK-H]
𱴜	[石白王,,CJK-H]
𱴝	[⺆亠口二石,,CJK-H]
𱴞	[石亻矢,,CJK-H]
𱴟	[石米女,,CJK-H]
𱴠	[石⺶㇏,,CJK-H]
𱴡	[石广䒑,,CJK-H]
𱴢	[石米巛,,CJK-H]
𱴣	[石宀歹匕,,CJK-H]
𱴤	[石土卜皿,,CJK-H]
𱴥	[石十冖糸,,CJK-H]
𱴦	[石𠂇口冂口,,CJK-H]
𱴧	[士冖石口又,,CJK-H]
𱴨	[石囗大心,,CJK-H]
𱴩	[石罒土厶,,CJK-H]
𱴪	[石日宀女,,CJK-H]
𱴫	[⺆亠口又石,,CJK-H]
𱴬	[石子子日,,CJK-H]
𱴭	[石⻗二ㄅ,,CJK-H]
𱴮	[石卝豕,,CJK-H]
𱴯	[石木,,CJK-H]
𱴰	[石广廿灬,,CJK-H]
𱴱	[石十罒一心,,CJK-H]
𱴲	[山𠁣口又石,,CJK-H]
𱴳	[石艹大十廾,,CJK-H]
𱴴	[石犭耂日,,CJK-H]
𱴵	[石聿田一,,CJK-H]
𱴶	[石阝夂一生,,CJK-H]
𱴷	[石罒非,,CJK-H]
𱴸	[石日井一𧘇,,CJK-H]
𱴹	[石云鬼,,CJK-H]
𱴺	[石日幺幺木,,CJK-H]
𱴻	[石儿儿,,CJK-H]
𱴼	[石火火冖牛,,CJK-H]
𱴽	[石豕,,CJK-H]
𱴾	[石宀頁刀,,CJK-H]
𱴿	[石車又又又又,,CJK-H]
𱵀	[牜麻石,,CJK-H]
𱵁	[石宀丿米田,,CJK-H]
𱵂	[石二口大丷疋,,CJK-H]
𱵃	[石厂禾禾日,,CJK-H]
𱵄	[石目目隹又,,CJK-H]
𱵅	[石尸氺罒勹虫,,CJK-H]
𱵆	[礻丿口,,CJK-H]
𱵇	[示丶ㅌ,,CJK-H]
𱵈	[示口夕,,CJK-H]
𱵉	[礻𠂉夫,,CJK-H]
𱵊	[𠂉⺄示,,CJK-H]
𱵋	[丿皿示,,CJK-H]
𱵌	[礻厶一大,,CJK-H]
𱵍	[示土土丶,,CJK-H]
𱵎	[示走,,CJK-H]
𱵏	[示日乚二,,CJK-H]
𱵐	[示日小,,CJK-H]
𱵑	[礻𠂉疋,,CJK-H]
𱵒	[礻丶艮,,CJK-H]
𱵓	[示,,CJK-H]
𱵔	[礻尸𠃌口,,CJK-H]
𱵕	[礻尤日,,CJK-H]
𱵖	[示止龰,,CJK-H]
𱵗	[日月示,,CJK-H]
𱵘	[礻白一゛,,CJK-H]
𱵙	[礻爫子乚,,CJK-H]
𱵚	[礻ヿ彐乚彐,,CJK-H]
𱵛	[礻己土,,CJK-H]
𱵜	[⺊一一大人示,,CJK-H]
𱵝	[礻爫冖一,,CJK-H]
𱵞	[礻𠂉土土丶,,CJK-H]
𱵟	[礻米大,,CJK-H]
𱵠	[示水八土,,CJK-H]
𱵡	[示一自夂,,CJK-H]
𱵢	[礻龶囗口,,CJK-H]
𱵣	[示口冂人口,,CJK-H]
𱵤	[礻田冂口,,CJK-H]
𱵥	[礻〢皿,,CJK-H]
𱵦	[礻⺈口田,,CJK-H]
𱵧	[礻土丷口寸,,CJK-H]
𱵨	[礻音十,,CJK-H]
𱵩	[示六隹,,CJK-H]
𱵪	[示弓工工口,,CJK-H]
𱵫	[癶豆示,,CJK-H]
𱵬	[示业䒑未,,CJK-H]
𱵭	[示耳口王,,CJK-H]
𱵮	[⺌一目辶一小,,CJK-H]
𱵯	[䒑自辶示,,CJK-H]
𱵰	[屮凵示又米,,CJK-H]
𱵱	[礻臼丨豆,,CJK-H]
𱵲	[示丷田龷八,,CJK-H]
𱵳	[屮凵示匕目㇗又,,CJK-H]
𱵴	[礻面口䒑,,CJK-H]
𱵵	[礻士己工匚丨口,,CJK-H]
𱵶	[示火火冖王丶,,CJK-H]
𱵷	[礻⺽〢豆,,CJK-H]
𱵸	[日宀示巛日一大,,CJK-H]
𱵹	[亽龴冂厶,,CJK-H]
𱵺	[人⺊一凵禸,,CJK-H]
𱵻	[人人人人艹田⽱,,CJK-H]
𱵼	[禾㇏,,CJK-H]
𱵽	[禾丿口,,CJK-H]
𱵾	[禾户,,CJK-H]
𱵿	[禾𠂇口,,CJK-H]
𱶀	[禾丿之,,CJK-H]
𱶁	[禾斤丶,,CJK-H]
𱶂	[禾厂犬,,CJK-H]
𱶃	[禾口夕,,CJK-H]
𱶄	[禾囗也,,CJK-H]
𱶅	[禾⺈巴,,CJK-H]
𱶆	[禾耒,,CJK-H]
𱶇	[大丿大禾,,CJK-H]
𱶈	[禾二冂,,CJK-H]
𱶉	[禾,,CJK-H]
𱶊	[禾,,CJK-H]
𱶋	[禾九{凬字心},,CJK-H]
𱶌	[禾龶贝,,CJK-H]
𱶍	[禾一⺌井,,CJK-H]
𱶎	[禾虎,,CJK-H]
𱶏	[禾口生,,CJK-H]
𱶐	[禾艹冖力,,CJK-H]
𱶑	[禾⺈臼,,CJK-H]
𱶒	[禾丿㠯十,,CJK-H]
𱶓	[禾尤目,,CJK-H]
𱶔	[禾犬{凬字心},,CJK-H]
𱶕	[禾土八⺝,,CJK-H]
𱶖	[禾田𠂇又,,CJK-H]
𱶗	[禾宀𠂇⺝,,CJK-H]
𱶘	[禾丶廾゛,,CJK-H]
𱶙	[禾文几,,CJK-H]
𱶚	[禾丷口心,,CJK-H]
𱶛	[禾一一井丨,,CJK-H]
𱶜	[禾自犬,,CJK-H]
𱶝	[禾攵几一巾,,CJK-H]
𱶞	[禾丶艮阝,,CJK-H]
𱶟	[一ㄅ一一ㄅ一禾禾,,CJK-H]
𱶠	[禾宀大可,,CJK-H]
𱶡	[十日十𠂉禾几,,CJK-H]
𱶢	[十丷冂禾⺈攵,,CJK-H]
𱶣	[亠囗口禾,,CJK-H]
𱶤	[禾立貝,,CJK-H]
𱶥	[亡禾頁,,CJK-H]
𱶦	[禾艹廿㇗木,,CJK-H]
𱶧	[禾山戊示,,CJK-H]
𱶨	[亠囗口禾禾,,CJK-H]
𱶩	[禾山四夕乚刀,,CJK-H]
𱶪	[禾火日乚,,CJK-H]
𱶫	[亠吅囗口禾,,CJK-H]
𱶬	[禾罒馬,,CJK-H]
𱶭	[禾艹臣皿,,CJK-H]
𱶮	[禾ヿ土毋屮凵丿㔾乂乂,,CJK-H]
𱶯	[禾爫幺大鳥,,CJK-H]
𱶰	[穴之,,CJK-H]
𱶱	[穴人,,CJK-H]
𱶲	[穴斗,,CJK-H]
𱶳	[穴丷三,,CJK-H]
𱶴	[穴巳,,CJK-H]
𱶵	[穴弗,,CJK-H]
𱶶	[穴土也,,CJK-H]
𱶷	[穴井又,,CJK-H]
𱶸	[穴止匕,,CJK-H]
𱶹	[穴皿亅,,CJK-H]
𱶺	[穴日八,,CJK-H]
𱶻	[穴夕夕,,CJK-H]
𱶼	[穴亻冖又,,CJK-H]
𱶽	[穴十未,,CJK-H]
𱶾	[穴丿口儿丶,,CJK-H]
𱶿	[氵穴牙,,CJK-H]
𱷀	[穴辛,,CJK-H]
𱷁	[穴リ未,,CJK-H]
𱷂	[穴尸𠃌口,,CJK-H]
𱷃	[穴工勹巳,,CJK-H]
𱷄	[穴土甘,,CJK-H]
𱷅	[穴木人人,,CJK-H]
𱷆	[穴土瓜,,CJK-H]
𱷇	[穴丿口⽱,,CJK-H]
𱷈	[穴白丿十,,CJK-H]
𱷉	[穴糹丩,,CJK-H]
𱷊	[穴丩一又,,CJK-H]
𱷋	[穴工儿,,CJK-H]
𱷌	[穴日几,,CJK-H]
𱷍	[穴牜未,,CJK-H]
𱷎	[穴阝土土,,CJK-H]
𱷏	[穴耳攵,,CJK-H]
𱷐	[穴十氺,,CJK-H]
𱷑	[穴乍未,,CJK-H]
𱷒	[穴亻目,,CJK-H]
𱷓	[穴扌冖一,,CJK-H]
𱷔	[穴亻冖支,,CJK-H]
𱷕	[穴丬彐冖巾,,CJK-H]
𱷖	[穴牜冖一,,CJK-H]
𱷗	[穴衤甫,,CJK-H]
𱷘	[穴丬亻彐冖又,,CJK-H]
𱷙	[穴䒑欠,,CJK-H]
𱷚	[穴丩癶豆,,CJK-H]
𱷛	[穴米田⽱,,CJK-H]
𱷜	[穴目一小丿糸,,CJK-H]
𱷝	[穴米⺊田⽱,,CJK-H]
𱷞	[穴米⺊冂人禸,,CJK-H]
𱷟	[穴耒⺊冎口,,CJK-H]
𱷠	[穴米亠㐅凵禸,,CJK-H]
𱷡	[穴米艹田⽱,,CJK-H]
𱷢	[穴丿米廿田⽱,,CJK-H]
𱷣	[不立,,CJK-H]
𱷤	[冫夕立,,CJK-H]
𱷥	[立儿冫,,CJK-H]
𱷦	[立厶𠂇乂,,CJK-H]
𱷧	[立日勹一,,CJK-H]
𱷨	[立广予,,CJK-H]
𱷩	[立山冖巾,,CJK-H]
𱷪	[立山二巾,,CJK-H]
𱷫	[矢二ㄅ立,,CJK-H]
𱷬	[立癶攴,,CJK-H]
𱷭	[立丨禸,,CJK-H]
𱷮	[⺮八,,CJK-H]
𱷯	[⺮𬺰丿,,CJK-H]
𱷰	[⺮厂力,,CJK-H]
𱷱	[⺮一山,,CJK-H]
𱷲	[⺮支,,CJK-H]
𱷳	[⺮日,,CJK-H]
𱷴	[⺮牛,,CJK-H]
𱷵	[⺮口丩,,CJK-H]
𱷶	[⺮匚人人,,CJK-H]
𱷷	[⺮扌丸,,CJK-H]
𱷸	[⺮贝刂,,CJK-H]
𱷹	[⺮口巾,,CJK-H]
𱷺	[⺮丷夫,,CJK-H]
𱷻	[了⺮丿大,,CJK-H]
𱷼	[⺮彐巾,,CJK-H]
𱷽	[⺮彐寸,,CJK-H]
𱷾	[⺮扌卩又,,CJK-H]
𱷿	[⺮木一,,CJK-H]
𱸀	[⺮一肀女,,CJK-H]
𱸁	[⺮土厶阝,,CJK-H]
𱸂	[⺮木匚㐅,,CJK-H]
𱸃	[⺮龷日,,CJK-H]
𱸄	[⺮扌且,,CJK-H]
𱸅	[⺮土皮,,CJK-H]
𱸆	[⺮土亠幺,,CJK-H]
𱸇	[⺮艹冖力,,CJK-H]
𱸈	[⺮止匕二,,CJK-H]
𱸉	[⺮亠儿冫,,CJK-H]
𱸊	[⺮氵由,,CJK-H]
𱸋	[⺮子皿,,CJK-H]
𱸌	[⺮阝亻寸,,CJK-H]
𱸍	[⺮覀女,,CJK-H]
𱸎	[⺮土寸又丶,,CJK-H]
𱸏	[⺮木一㐅凵,,CJK-H]
𱸐	[⺮歹一戈,,CJK-H]
𱸑	[⺮厂里,,CJK-H]
𱸒	[⺮乍心,,CJK-H]
𱸓	[⺮礻且,,CJK-H]
𱸔	[⺮纟儿,,CJK-H]
𱸕	[⺮厶厶厶土,,CJK-H]
𱸖	[⺮木羊,,CJK-H]
𱸗	[⺮耳又又,,CJK-H]
𱸘	[⺮文而,,CJK-H]
𱸙	[⺮氵束,,CJK-H]
𱸚	[⺮米斗,,CJK-H]
𱸛	[⺮厶大田,,CJK-H]
𱸜	[⺮木木土,,CJK-H]
𱸝	[⺮土立口,,CJK-H]
𱸞	[⺮扌非,,CJK-H]
𱸟	[⺮木己心,,CJK-H]
𱸠	[⺮亻田一,,CJK-H]
𱸡	[⺮毛,,CJK-H]
𱸢	[⺮立儿冫,,CJK-H]
𱸣	[⺮女夂田,,CJK-H]
𱸤	[⺮纟黾,,CJK-H]
𱸥	[⺮舟儿冫,,CJK-H]
𱸦	[⺮月龷日,,CJK-H]
𱸧	[⺮鱼日,,CJK-H]
𱸨	[⺮弓口虫,,CJK-H]
𱸩	[⺮广卌冖巾,,CJK-H]
𱸪	[⺮忄甫寸,,CJK-H]
𱸫	[⺮十日十人木,,CJK-H]
𱸬	[⺮扌艹日大,,CJK-H]
𱸭	[⺮氵户口巴,,CJK-H]
𱸮	[⺮爿寸大,,CJK-H]
𱸯	[⺮土寸彳土寸,,CJK-H]
𱸰	[⺮耂日見,,CJK-H]
𱸱	[⺮舟丷夫糸,,CJK-H]
𱸲	[⺮匕目㇗八頁,,CJK-H]
𱸳	[米丷,,CJK-H]
𱸴	[米几丶,,CJK-H]
𱸵	[米车,,CJK-H]
𱸶	[米月,,CJK-H]
𱸷	[米目,,CJK-H]
𱸸	[凵米一,,CJK-H]
𱸹	[米勹巳,,CJK-H]
𱸺	[女又米,,CJK-H]
𱸻	[米歹刂,,CJK-H]
𱸼	[米一儿,,CJK-H]
𱸽	[米囗夕,,CJK-H]
𱸾	[米人云,,CJK-H]
𱸿	[⺈⺄米,,CJK-H]
𱹀	[米臼,,CJK-H]
𱹁	[米齐,,CJK-H]
𱹂	[丶⺄一米,,CJK-H]
𱹃	[亠米,,CJK-H]
𱹄	[米車,,CJK-H]
𱹅	[一西米,,CJK-H]
𱹆	[米小丿土丶,,CJK-H]
𱹇	[丶火米,,CJK-H]
𱹈	[亠灬⺄米,,CJK-H]
𱹉	[米女小丿,,CJK-H]
𱹊	[米一肀女,,CJK-H]
𱹋	[米艹不,,CJK-H]
𱹌	[亠𡆪米,,CJK-H]
𱹍	[米甘木,,CJK-H]
𱹎	[米吅马,,CJK-H]
𱹏	[米日生,,CJK-H]
𱹐	[米艹力口,,CJK-H]
𱹑	[米彳土寸,,CJK-H]
𱹒	[米⺈冂八大,,CJK-H]
𱹓	[田米,,CJK-H]
𱹔	[米耳又又,,CJK-H]
𱹕	[米囗口贝,,CJK-H]
𱹖	[日龷八米,,CJK-H]
𱹗	[米气米,,CJK-H]
𱹘	[米⺷心,,CJK-H]
𱹙	[亠灬田米,,CJK-H]
𱹚	[米夂丰辶,,CJK-H]
𱹛	[米黒,,CJK-H]
𱹜	[广氺米,,CJK-H]
𱹝	[亠灬罒米,,CJK-H]
𱹞	[米土土土一儿,,CJK-H]
𱹟	[亠囗米,,CJK-H]
𱹠	[亠覀米,,CJK-H]
𱹡	[亠灬𡆪米,,CJK-H]
𱹢	[米一田一田一,,CJK-H]
𱹣	[士尸口攵米,,CJK-H]
𱹤	[米音心,,CJK-H]
𱹥	[覀米⺊一小又,,CJK-H]
𱹦	[米艹冖一豕,,CJK-H]
𱹧	[米广人米,,CJK-H]
𱹨	[亠吅囗米,,CJK-H]
𱹩	[米田龷八了口又一,,CJK-H]
𱹪	[糸丿,,CJK-H]
𱹫	[糸了,,CJK-H]
𱹬	[丿大糸,,CJK-H]
𱹭	[八乂糸,,CJK-H]
𱹮	[糹亻弋,,CJK-H]
𱹯	[糸示,,CJK-H]
𱹰	[糹扌口,,CJK-H]
𱹱	[糹耂一ㄅ,,CJK-H]
𱹲	[糹𠂇丨子,,CJK-H]
𱹳	[糹彐寸,,CJK-H]
𱹴	[糹未丷,,CJK-H]
𱹵	[糹门心,,CJK-H]
𱹶	[糹土日一,,CJK-H]
𱹷	[糹艹冂人,,CJK-H]
𱹸	[糸勹牛,,CJK-H]
𱹹	[糸人人一廾,,CJK-H]
𱹺	[糹車凵,,CJK-H]
𱹻	[糹石又又,,CJK-H]
𱹼	[糹巛一田,,CJK-H]
𱹽	[馬糸,,CJK-H]
𱹾	[⺈丶一米糸,,CJK-H]
𱹿	[糸車斤,,CJK-H]
𱺀	[糸艹爿士,,CJK-H]
𱺁	[糸大大可,,CJK-H]
𱺂	[糸日儿,,CJK-H]
𱺃	[糹土,,CJK-H]
𱺄	[八口儿攵糸,,CJK-H]
𱺅	[糹氏日㇂丿丶,,CJK-H]
𱺆	[糸⺮勹日,,CJK-H]
𱺇	[糹丿皿丿,,CJK-H]
𱺈	[糹言刀口,,CJK-H]
𱺉	[糹木日田,,CJK-H]
𱺊	[糸木冂貝,,CJK-H]
𱺋	[工一米廾丿糸,,CJK-H]
𱺌	[⺈丶一米大丿糸,,CJK-H]
𱺍	[糸車凵糸,,CJK-H]
𱺎	[糹辛,,CJK-H]
𱺏	[纟卜,,CJK-H]
𱺐	[纟入,,CJK-H]
𱺑	[纟了,,CJK-H]
𱺒	[纟巾,,CJK-H]
𱺓	[纟斤,,CJK-H]
𱺔	[纟𠂇巾,,CJK-H]
𱺕	[纟龙,,CJK-H]
𱺖	[纟宀丁,,CJK-H]
𱺗	[纟工丁,,CJK-H]
𱺘	[纟民,,CJK-H]
𱺙	[纟尸匕,,CJK-H]
𱺚	[纟扌口,,CJK-H]
𱺛	[纟耒,,CJK-H]
𱺜	[纟未丷,,CJK-H]
𱺝	[纟土,,CJK-H]
𱺞	[纟⺧口,,CJK-H]
𱺟	[纟鸟山,,CJK-H]
𱺠	[纟亻乍,,CJK-H]
𱺡	[纟丶艮,,CJK-H]
𱺢	[纟𠃌阝,,CJK-H]
𱺣	[纟艹冖力,,CJK-H]
𱺤	[纟止匕二,,CJK-H]
𱺥	[纟阝人土,,CJK-H]
𱺦	[纟厂里,,CJK-H]
𱺧	[纟束丷,,CJK-H]
𱺨	[纟儿力,,CJK-H]
𱺩	[纟⺷大,,CJK-H]
𱺪	[纟土,,CJK-H]
𱺫	[纟宀心丿山,,CJK-H]
𱺬	[纟⺮土寸,,CJK-H]
𱺭	[纟⻗田,,CJK-H]
𱺮	[纟豕,,CJK-H]
𱺯	[纟艹示,,CJK-H]
𱺰	[纟十口冖吅井一𧘇,,CJK-H]
𱺱	[缶云,,CJK-H]
𱺲	[缶䒑业,,CJK-H]
𱺳	[缶日宀女,,CJK-H]
𱺴	[冂乂乂弋,,CJK-H]
𱺵	[罒廾,,CJK-H]
𱺶	[亡冂乂乂,,CJK-H]
𱺷	[罒尤,,CJK-H]
𱺸	[罒匕匕,,CJK-H]
𱺹	[罒乂刂,,CJK-H]
𱺺	[罒八刀,,CJK-H]
𱺻	[罒之,,CJK-H]
𱺼	[冖八二儿刂,,CJK-H]
𱺽	[冂㐅二儿刂,,CJK-H]
𱺾	[罒丿口儿,,CJK-H]
𱺿	[冂八二儿寸,,CJK-H]
𱻀	[冂㐅皿,,CJK-H]
𱻁	[冖八儿,,CJK-H]
𱻂	[罒耳,,CJK-H]
𱻃	[罒彳生,,CJK-H]
𱻄	[冂人丷夫⺋,,CJK-H]
𱻅	[罒宀且,,CJK-H]
𱻆	[罒糸匕,,CJK-H]
𱻇	[罒日土寸,,CJK-H]
𱻈	[冂乂乂口丨馬,,CJK-H]
𱻉	[リ羊,,CJK-H]
𱻊	[⺷又,,CJK-H]
𱻋	[毛羊,,CJK-H]
𱻌	[⺷豕,,CJK-H]
𱻍	[羊亻氏丶,,CJK-H]
𱻎	[⺶乚糸,,CJK-H]
𱻏	[⺷大一,,CJK-H]
𱻐	[⺷大匚コ,,CJK-H]
𱻑	[亼口羊乛丿人,,CJK-H]
𱻒	[⺷皿{凬字心},,CJK-H]
𱻓	[六月羊几二,,CJK-H]
𱻔	[⺷大又又又冖且,,CJK-H]
𱻕	[亡罒⺶月丿几二,,CJK-H]
𱻖	[丿口羊扌非,,CJK-H]
𱻗	[羽一几几,,CJK-H]
𱻘	[羽民,,CJK-H]
𱻙	[冖二儿羽,,CJK-H]
𱻚	[羽大一山,,CJK-H]
𱻛	[羽,,CJK-H]
𱻜	[艹八刀羽,,CJK-H]
𱻝	[羽一月月,,CJK-H]
𱻞	[十艹贝羽,,CJK-H]
𱻟	[甘木羽,,CJK-H]
𱻠	[羽王白,,CJK-H]
𱻡	[工貝羽,,CJK-H]
𱻢	[竜羽,,CJK-H]
𱻣	[厶厶厶人彡羽,,CJK-H]
𱻤	[囗韋羽,,CJK-H]
𱻥	[户羽厂䒑欠,,CJK-H]
𱻦	[⻗木目羽,,CJK-H]
𱻧	[几老,,CJK-H]
𱻨	[老几,,CJK-H]
𱻩	[老⺌一,,CJK-H]
𱻪	[老巴,,CJK-H]
𱻫	[耂㇗口人,,CJK-H]
𱻬	[耂ヿ工匚儿,,CJK-H]
𱻭	[耂耂日,,CJK-H]
𱻮	[耂彐ㅌ口,,CJK-H]
